record; height; mass; shoulders width; lung capacity; muscle to fat ratio 
no; 1.75; 74; 39.00; 6.03; 0.15 
no; 1.77; 79; 45.00; 5.92; 0.17 
no; 1.76; 73; 46.00; 5.97; 0.19 
no; 1.78; 76; 39.00; 5.73; 0.15 
no; 1.81; 78; 41.00; 5.79; 0.19 
yes; 1.92; 73; 50.00; 6.02; 0.15 
no; 1.79; 72; 40.00; 5.96; 0.20 
no; 1.79; 78; 39.00; 5.82; 0.18 
no; 1.83; 79; 44.00; 5.84; 0.16 
no; 1.84; 73; 39.00; 5.89; 0.20 
yes; 1.92; 73; 42.00; 6.26; 0.15 
no; 1.79; 79; 43.00; 6.05; 0.19 
no; 1.83; 75; 40.00; 6.01; 0.17 
no; 1.86; 77; 45.00; 5.96; 0.17 
no; 1.78; 72; 39.00; 5.83; 0.16 
no; 1.9; 74; 45.00; 6.00; 0.18 
no; 1.82; 75; 43.00; 6.09; 0.18 
no; 1.82; 75; 43.00; 5.77; 0.19 
no; 1.75; 77; 39.00; 5.81; 0.16 
no; 1.87; 80; 41.00; 5.92; 0.19 
no; 1.83; 77; 44.00; 5.84; 0.15 
no; 1.83; 79; 40.00; 6.08; 0.15 
no; 1.8; 73; 42.00; 5.77; 0.16 
no; 1.82; 79; 42.00; 5.90; 0.19 
no; 1.75; 80; 39.00; 5.81; 0.14 
no; 1.77; 74; 41.00; 5.77; 0.14 
no; 1.89; 73; 39.00; 5.78; 0.15 
no; 1.86; 74; 40.00; 5.86; 0.15 
no; 1.89; 76; 44.00; 6.08; 0.19 
no; 1.81; 73; 40.00; 6.03; 0.15 
no; 1.82; 78; 45.00; 5.78; 0.16 
no; 1.87; 77; 39.00; 5.74; 0.15 
no; 1.77; 76; 41.00; 5.91; 0.17 
no; 1.75; 78; 42.00; 5.72; 0.14 
no; 1.82; 75; 43.00; 5.80; 0.18 
no; 1.89; 74; 41.00; 5.80; 0.16 
no; 1.8; 80; 39.00; 6.07; 0.18 
no; 1.88; 80; 39.00; 6.04; 0.20 
no; 1.82; 75; 40.00; 6.05; 0.15 
yes; 1.9; 74; 44.00; 6.06; 0.19 
no; 1.84; 77; 46.00; 5.88; 0.15 
no; 1.86; 78; 43.00; 5.94; 0.19 
no; 1.79; 79; 42.00; 5.98; 0.18 
no; 1.76; 79; 40.00; 5.83; 0.19 
no; 1.78; 77; 42.00; 5.86; 0.17 
no; 1.87; 73; 43.00; 6.07; 0.17 
no; 1.75; 74; 44.00; 5.85; 0.17 
no; 1.78; 75; 44.00; 5.96; 0.18 
yes; 1.89; 77; 46.00; 6.11; 0.17 
no; 1.75; 73; 46.00; 6.08; 0.19 
no; 1.84; 76; 46.00; 5.87; 0.20 
no; 1.89; 73; 46.00; 5.81; 0.17 
no; 1.9; 72; 39.00; 5.89; 0.14 
no; 1.75; 78; 44.00; 5.75; 0.15 
yes; 1.91; 73; 44.00; 6.03; 0.14 
no; 1.85; 72; 40.00; 5.81; 0.18 
no; 1.75; 75; 46.00; 5.74; 0.18 
no; 1.84; 79; 39.00; 5.88; 0.17 
no; 1.9; 73; 43.00; 5.81; 0.19 
no; 1.75; 79; 46.00; 5.70; 0.19 
no; 1.81; 79; 44.00; 5.85; 0.18 
no; 1.84; 77; 41.00; 5.93; 0.17 
no; 1.75; 77; 40.00; 6.02; 0.15 
no; 1.8; 74; 45.00; 5.70; 0.18 
no; 1.9; 77; 46.00; 6.08; 0.18 
no; 1.85; 72; 40.00; 6.07; 0.19 
no; 1.87; 76; 44.00; 5.95; 0.19 
no; 1.84; 74; 46.00; 6.03; 0.19 
no; 1.85; 74; 45.00; 5.71; 0.18 
no; 1.8; 77; 42.00; 5.93; 0.17 
no; 1.89; 77; 45.00; 5.84; 0.18 
no; 1.84; 76; 44.00; 5.73; 0.19 
no; 1.85; 80; 42.00; 5.81; 0.18 
no; 1.89; 73; 46.00; 5.83; 0.17 
no; 1.89; 72; 46.00; 5.82; 0.18 
no; 1.86; 72; 40.00; 5.94; 0.20 
no; 1.88; 76; 42.00; 5.79; 0.18 
no; 1.89; 73; 39.00; 6.00; 0.15 
no; 1.86; 80; 45.00; 5.90; 0.17 
no; 1.87; 78; 42.00; 5.78; 0.19 
no; 1.89; 72; 42.00; 5.88; 0.18 
no; 1.79; 72; 46.00; 5.98; 0.15 
no; 1.85; 76; 40.00; 6.06; 0.17 
no; 1.77; 73; 41.00; 5.92; 0.16 
no; 1.75; 80; 43.00; 5.95; 0.15 
no; 1.81; 78; 46.00; 5.84; 0.16 
no; 1.78; 76; 43.00; 5.75; 0.18 
no; 1.81; 77; 45.00; 5.99; 0.17 
no; 1.77; 78; 43.00; 5.81; 0.16 
no; 1.86; 75; 42.00; 5.81; 0.17 
no; 1.75; 76; 39.00; 6.08; 0.18 
no; 1.9; 79; 39.00; 5.98; 0.18 
no; 1.86; 77; 39.00; 5.77; 0.14 
no; 1.84; 80; 46.00; 6.00; 0.16 
yes; 1.86; 81; 50.00; 5.99; 0.15 
no; 1.75; 77; 39.00; 5.74; 0.18 
no; 1.9; 74; 46.00; 5.91; 0.18 
no; 1.83; 76; 40.00; 5.96; 0.14 
no; 1.87; 78; 42.00; 5.74; 0.20 
no; 1.78; 78; 40.00; 6.00; 0.15 
no; 1.87; 74; 39.00; 5.77; 0.16 
no; 1.75; 78; 45.00; 5.86; 0.18 
no; 1.82; 80; 44.00; 5.94; 0.19 
no; 1.78; 74; 43.00; 5.95; 0.17 
no; 1.82; 80; 41.00; 5.78; 0.16 
no; 1.9; 75; 46.00; 5.93; 0.16 
no; 1.82; 72; 40.00; 5.96; 0.15 
no; 1.87; 73; 43.00; 5.98; 0.14 
no; 1.76; 75; 45.00; 5.84; 0.20 
no; 1.87; 80; 43.00; 5.87; 0.15 
no; 1.77; 75; 40.00; 5.97; 0.17 
no; 1.89; 74; 42.00; 5.94; 0.17 
no; 1.76; 79; 46.00; 6.04; 0.14 
no; 1.77; 80; 39.00; 5.78; 0.20 
no; 1.8; 72; 46.00; 5.89; 0.17 
no; 1.85; 77; 45.00; 5.98; 0.18 
no; 1.82; 72; 39.00; 6.02; 0.14 
no; 1.78; 79; 45.00; 5.95; 0.17 
no; 1.87; 72; 39.00; 5.79; 0.19 
no; 1.75; 75; 40.00; 5.75; 0.18 
no; 1.83; 72; 44.00; 6.06; 0.17 
no; 1.88; 76; 40.00; 5.80; 0.18 
no; 1.78; 72; 40.00; 5.92; 0.18 
no; 1.85; 77; 45.00; 5.86; 0.20 
no; 1.84; 73; 46.00; 5.90; 0.16 
no; 1.89; 78; 40.00; 5.91; 0.17 
no; 1.86; 75; 44.00; 6.08; 0.17 
no; 1.77; 77; 45.00; 5.91; 0.16 
no; 1.84; 79; 43.00; 5.81; 0.16 
no; 1.88; 72; 46.00; 5.73; 0.18 
no; 1.79; 73; 40.00; 5.84; 0.16 
no; 1.86; 76; 46.00; 5.93; 0.15 
no; 1.76; 75; 39.00; 5.95; 0.18 
no; 1.84; 80; 39.00; 5.82; 0.18 
yes; 1.86; 81; 44.00; 6.11; 0.15 
yes; 1.9; 81; 43.00; 6.02; 0.14 
no; 1.9; 76; 40.00; 5.74; 0.18 
no; 1.89; 76; 40.00; 5.96; 0.15 
no; 1.77; 79; 41.00; 6.04; 0.20 
no; 1.8; 75; 43.00; 5.82; 0.18 
no; 1.85; 72; 46.00; 5.76; 0.17 
no; 1.81; 80; 46.00; 5.85; 0.17 
no; 1.87; 73; 46.00; 5.80; 0.15 
no; 1.81; 72; 42.00; 6.07; 0.16 
no; 1.88; 76; 42.00; 5.88; 0.15 
no; 1.82; 72; 42.00; 5.74; 0.18 
no; 1.79; 77; 45.00; 5.72; 0.15 
no; 1.88; 74; 39.00; 6.05; 0.20 
no; 1.76; 78; 43.00; 5.99; 0.15 
no; 1.85; 77; 43.00; 5.86; 0.16 
no; 1.81; 80; 43.00; 5.87; 0.16 
no; 1.89; 79; 43.00; 5.93; 0.20 
no; 1.8; 73; 44.00; 5.99; 0.18 
no; 1.89; 72; 42.00; 5.76; 0.15 
no; 1.82; 75; 41.00; 5.72; 0.18 
no; 1.8; 78; 41.00; 5.92; 0.18 
no; 1.87; 76; 43.00; 5.88; 0.17 
no; 1.85; 76; 39.00; 5.82; 0.17 
no; 1.8; 77; 45.00; 6.00; 0.15 
no; 1.88; 74; 41.00; 6.01; 0.18 
no; 1.86; 80; 42.00; 6.05; 0.17 
no; 1.87; 78; 45.00; 5.74; 0.20 
no; 1.82; 74; 40.00; 6.08; 0.15 
no; 1.84; 75; 42.00; 5.80; 0.14 
no; 1.79; 77; 46.00; 5.73; 0.18 
no; 1.84; 79; 42.00; 5.89; 0.19 
yes; 1.87; 81; 42.00; 6.24; 0.16 
no; 1.75; 75; 45.00; 5.89; 0.14 
no; 1.89; 74; 43.00; 5.88; 0.18 
no; 1.77; 75; 42.00; 6.02; 0.17 
no; 1.85; 72; 42.00; 5.78; 0.20 
no; 1.89; 77; 45.00; 6.06; 0.19 
no; 1.81; 74; 42.00; 5.94; 0.16 
no; 1.75; 74; 42.00; 6.09; 0.16 
yes; 1.92; 75; 49.00; 5.90; 0.13 
no; 1.85; 77; 44.00; 5.90; 0.16 
no; 1.76; 75; 40.00; 6.00; 0.14 
no; 1.81; 80; 46.00; 5.77; 0.19 
no; 1.85; 75; 46.00; 6.06; 0.20 
no; 1.79; 73; 41.00; 5.84; 0.18 
no; 1.82; 76; 40.00; 5.92; 0.15 
no; 1.89; 76; 45.00; 5.89; 0.20 
no; 1.88; 79; 44.00; 5.92; 0.16 
yes; 1.93; 73; 48.00; 6.02; 0.16 
no; 1.9; 72; 41.00; 5.85; 0.19 
no; 1.9; 79; 39.00; 5.98; 0.20 
no; 1.77; 79; 44.00; 6.04; 0.16 
no; 1.85; 80; 39.00; 5.97; 0.17 
yes; 1.87; 79; 42.00; 5.97; 0.18 
no; 1.85; 80; 41.00; 6.00; 0.15 
no; 1.84; 74; 43.00; 5.99; 0.19 
no; 1.79; 79; 40.00; 5.96; 0.18 
no; 1.87; 75; 41.00; 5.97; 0.16 
yes; 1.88; 74; 46.00; 6.10; 0.14 
no; 1.8; 72; 40.00; 5.81; 0.20 
no; 1.75; 77; 40.00; 6.00; 0.17 
no; 1.78; 79; 42.00; 6.00; 0.16 
no; 1.85; 78; 39.00; 6.08; 0.17 
no; 1.8; 73; 44.00; 5.77; 0.19 
no; 1.88; 77; 42.00; 5.98; 0.14 
no; 1.75; 80; 45.00; 5.99; 0.18 
no; 1.85; 76; 41.00; 5.81; 0.19 
no; 1.77; 76; 41.00; 5.90; 0.16 
no; 1.81; 73; 46.00; 5.90; 0.17 
no; 1.89; 80; 43.00; 5.99; 0.19 
no; 1.83; 73; 43.00; 5.77; 0.16 
no; 1.85; 79; 45.00; 5.88; 0.15 
no; 1.78; 79; 45.00; 5.73; 0.19 
no; 1.88; 72; 39.00; 5.82; 0.19 
no; 1.85; 75; 40.00; 5.73; 0.18 
no; 1.87; 73; 39.00; 6.03; 0.14 
no; 1.86; 75; 40.00; 5.82; 0.18 
no; 1.77; 78; 40.00; 5.74; 0.17 
no; 1.77; 79; 39.00; 5.94; 0.16 
no; 1.78; 80; 45.00; 6.06; 0.19 
no; 1.83; 74; 39.00; 5.88; 0.15 
no; 1.77; 75; 46.00; 6.06; 0.18 
no; 1.89; 72; 46.00; 6.02; 0.19 
no; 1.78; 78; 46.00; 6.04; 0.17 
no; 1.8; 79; 41.00; 5.90; 0.20 
no; 1.87; 78; 39.00; 5.75; 0.20 
yes; 1.88; 80; 46.00; 6.24; 0.18 
no; 1.9; 74; 44.00; 5.92; 0.16 
no; 1.85; 72; 43.00; 6.06; 0.15 
no; 1.9; 73; 43.00; 6.08; 0.18 
no; 1.77; 78; 39.00; 5.76; 0.17 
yes; 1.89; 77; 48.00; 5.99; 0.19 
no; 1.85; 80; 43.00; 5.98; 0.17 
no; 1.83; 76; 43.00; 6.05; 0.18 
no; 1.76; 73; 42.00; 5.71; 0.19 
no; 1.78; 72; 44.00; 5.71; 0.16 
no; 1.87; 79; 39.00; 5.98; 0.17 
no; 1.79; 74; 41.00; 5.88; 0.16 
no; 1.84; 80; 40.00; 5.98; 0.19 
no; 1.78; 72; 39.00; 6.07; 0.15 
no; 1.9; 79; 43.00; 5.98; 0.17 
no; 1.78; 80; 46.00; 5.81; 0.20 
yes; 1.93; 81; 49.00; 6.26; 0.15 
no; 1.79; 79; 46.00; 5.85; 0.18 
no; 1.8; 77; 43.00; 5.87; 0.18 
no; 1.77; 73; 42.00; 6.06; 0.16 
no; 1.9; 75; 46.00; 5.78; 0.18 
no; 1.79; 75; 39.00; 5.75; 0.16 
no; 1.8; 78; 44.00; 5.77; 0.15 
no; 1.79; 75; 40.00; 5.89; 0.18 
no; 1.87; 78; 46.00; 5.88; 0.14 
no; 1.89; 72; 46.00; 6.00; 0.15 
no; 1.75; 78; 44.00; 5.94; 0.16 
no; 1.75; 78; 39.00; 5.97; 0.19 
no; 1.82; 77; 41.00; 6.04; 0.17 
no; 1.81; 79; 40.00; 5.93; 0.15 
no; 1.75; 74; 46.00; 5.74; 0.18 
no; 1.76; 76; 42.00; 5.85; 0.17 
no; 1.8; 74; 43.00; 5.79; 0.17 
no; 1.89; 77; 44.00; 5.83; 0.15 
yes; 1.92; 74; 50.00; 6.22; 0.15 
no; 1.8; 78; 40.00; 5.74; 0.15 
no; 1.79; 79; 39.00; 5.91; 0.15 
no; 1.82; 78; 40.00; 5.94; 0.19 
no; 1.79; 76; 42.00; 5.85; 0.17 
no; 1.85; 77; 46.00; 6.01; 0.18 
no; 1.82; 75; 40.00; 6.00; 0.19 
no; 1.88; 75; 46.00; 5.85; 0.14 
no; 1.87; 74; 46.00; 5.86; 0.16 
no; 1.77; 78; 42.00; 5.82; 0.19 
no; 1.84; 80; 43.00; 5.91; 0.16 
no; 1.9; 77; 40.00; 5.71; 0.17 
yes; 1.91; 76; 42.00; 6.14; 0.18 
no; 1.83; 76; 45.00; 5.86; 0.17 
no; 1.78; 74; 43.00; 6.06; 0.17 
no; 1.79; 79; 46.00; 5.92; 0.19 
no; 1.87; 75; 40.00; 6.04; 0.15 
no; 1.75; 78; 40.00; 5.86; 0.16 
no; 1.89; 76; 43.00; 5.74; 0.17 
no; 1.76; 78; 45.00; 5.89; 0.14 
no; 1.84; 80; 43.00; 6.09; 0.19 
no; 1.86; 78; 41.00; 5.92; 0.16 
no; 1.78; 75; 44.00; 5.70; 0.18 
no; 1.88; 77; 41.00; 5.84; 0.14 
yes; 1.87; 79; 46.00; 6.22; 0.14 
no; 1.9; 78; 42.00; 5.76; 0.18 
no; 1.84; 76; 45.00; 5.93; 0.17 
no; 1.84; 78; 44.00; 5.77; 0.19 
no; 1.76; 76; 39.00; 5.93; 0.20 
no; 1.76; 80; 41.00; 5.96; 0.14 
no; 1.79; 75; 41.00; 5.86; 0.15 
no; 1.86; 80; 39.00; 5.78; 0.18 
yes; 1.88; 77; 49.00; 6.16; 0.14 
no; 1.89; 75; 39.00; 5.75; 0.16 
no; 1.75; 72; 40.00; 5.81; 0.19 
no; 1.82; 76; 43.00; 5.77; 0.15 
no; 1.9; 75; 42.00; 5.81; 0.14 
no; 1.83; 80; 41.00; 6.01; 0.18 
no; 1.83; 72; 46.00; 5.76; 0.17 
no; 1.84; 72; 43.00; 6.09; 0.16 
no; 1.86; 80; 43.00; 6.01; 0.14 
no; 1.84; 75; 44.00; 5.72; 0.19 
no; 1.9; 73; 39.00; 5.90; 0.15 
no; 1.84; 72; 40.00; 6.00; 0.18 
no; 1.8; 72; 39.00; 5.71; 0.16 
no; 1.78; 72; 42.00; 5.86; 0.17 
no; 1.83; 77; 40.00; 5.76; 0.17 
no; 1.87; 74; 46.00; 5.93; 0.16 
no; 1.89; 72; 46.00; 6.04; 0.19 
no; 1.79; 74; 46.00; 5.71; 0.16 
no; 1.79; 73; 44.00; 5.92; 0.18 
no; 1.88; 72; 41.00; 5.94; 0.16 
no; 1.76; 73; 40.00; 6.00; 0.19 
no; 1.87; 74; 46.00; 5.75; 0.18 
no; 1.76; 72; 39.00; 5.77; 0.20 
no; 1.84; 80; 45.00; 5.93; 0.17 
no; 1.86; 77; 43.00; 5.79; 0.15 
no; 1.86; 73; 44.00; 5.76; 0.16 
no; 1.79; 75; 42.00; 6.02; 0.16 
no; 1.87; 74; 42.00; 5.74; 0.16 
no; 1.86; 77; 41.00; 5.76; 0.19 
no; 1.77; 73; 40.00; 5.71; 0.19 
no; 1.75; 80; 40.00; 5.96; 0.20 
no; 1.89; 80; 40.00; 5.96; 0.18 
no; 1.8; 73; 40.00; 5.99; 0.16 
no; 1.78; 80; 42.00; 5.97; 0.20 
yes; 1.91; 74; 42.00; 6.03; 0.18 
no; 1.81; 77; 43.00; 5.95; 0.17 
no; 1.9; 76; 41.00; 5.93; 0.18 
no; 1.77; 72; 41.00; 6.05; 0.19 
no; 1.82; 77; 43.00; 5.74; 0.18 
no; 1.84; 72; 45.00; 6.06; 0.18 
no; 1.8; 77; 39.00; 5.79; 0.16 
