record; height; mass; legs_length; lung capacity; muscle to fat ratio 
no; 1.85; 70; 76.00; 5.90; 0.19 
no; 1.74; 73; 75.00; 5.76; 0.14 
no; 1.8; 71; 76.00; 5.84; 0.15 
no; 1.76; 72; 73.00; 5.57; 0.15 
no; 1.67; 70; 75.00; 5.85; 0.18 
no; 1.72; 73; 77.00; 5.53; 0.18 
no; 1.67; 70; 80.00; 5.67; 0.17 
no; 1.83; 73; 73.00; 5.72; 0.17 
no; 1.71; 71; 71.00; 5.80; 0.19 
no; 1.8; 72; 80.00; 5.83; 0.17 
no; 1.66; 70; 76.00; 5.64; 0.18 
no; 1.81; 71; 78.00; 5.65; 0.19 
yes; 1.85; 65; 82.00; 5.85; 0.19 
yes; 1.77; 65; 76.00; 5.96; 0.15 
no; 1.82; 69; 76.00; 5.60; 0.16 
no; 1.74; 74; 74.00; 5.69; 0.17 
no; 1.73; 72; 79.00; 5.80; 0.19 
no; 1.7; 71; 77.00; 5.85; 0.16 
no; 1.85; 72; 75.00; 5.97; 0.17 
no; 1.72; 70; 72.00; 5.61; 0.15 
no; 1.74; 73; 76.00; 5.56; 0.16 
no; 1.83; 70; 78.00; 5.55; 0.16 
no; 1.84; 70; 71.00; 5.65; 0.14 
no; 1.79; 71; 79.00; 5.72; 0.16 
no; 1.79; 72; 80.00; 5.59; 0.17 
no; 1.73; 71; 74.00; 5.84; 0.15 
no; 1.8; 70; 73.00; 5.58; 0.18 
no; 1.82; 69; 79.00; 5.52; 0.19 
yes; 1.77; 72; 82.00; 6.18; 0.18 
no; 1.81; 73; 77.00; 5.94; 0.17 
no; 1.71; 72; 74.00; 5.50; 0.17 
no; 1.85; 74; 74.00; 5.82; 0.19 
no; 1.76; 69; 78.00; 5.93; 0.16 
no; 1.67; 74; 78.00; 5.55; 0.17 
no; 1.68; 70; 75.00; 5.74; 0.19 
no; 1.77; 74; 77.00; 5.94; 0.15 
no; 1.81; 71; 75.00; 5.89; 0.17 
no; 1.77; 70; 77.00; 5.57; 0.20 
no; 1.73; 69; 76.00; 5.58; 0.20 
no; 1.66; 74; 79.00; 5.85; 0.15 
no; 1.75; 72; 73.00; 5.78; 0.17 
no; 1.69; 74; 73.00; 5.72; 0.18 
no; 1.82; 71; 79.00; 5.90; 0.16 
no; 1.77; 69; 78.00; 5.54; 0.14 
no; 1.66; 70; 75.00; 5.90; 0.19 
no; 1.74; 73; 77.00; 5.65; 0.19 
no; 1.73; 69; 80.00; 5.64; 0.18 
no; 1.8; 72; 73.00; 5.67; 0.16 
no; 1.85; 72; 73.00; 5.94; 0.16 
no; 1.65; 72; 77.00; 5.84; 0.15 
no; 1.73; 69; 75.00; 5.61; 0.14 
yes; 1.89; 71; 82.00; 5.96; 0.13 
no; 1.79; 72; 74.00; 5.98; 0.14 
no; 1.8; 74; 80.00; 5.80; 0.19 
no; 1.68; 73; 75.00; 5.70; 0.15 
no; 1.66; 71; 75.00; 5.71; 0.18 
no; 1.65; 74; 77.00; 5.59; 0.18 
no; 1.85; 70; 73.00; 5.54; 0.15 
no; 1.72; 69; 76.00; 5.96; 0.19 
no; 1.81; 74; 79.00; 5.71; 0.14 
no; 1.74; 73; 77.00; 5.65; 0.14 
no; 1.8; 71; 71.00; 5.54; 0.15 
no; 1.7; 74; 76.00; 5.58; 0.19 
no; 1.8; 73; 80.00; 5.81; 0.17 
no; 1.77; 72; 80.00; 5.61; 0.20 
no; 1.69; 69; 73.00; 5.87; 0.16 
no; 1.72; 69; 72.00; 5.57; 0.18 
no; 1.76; 71; 71.00; 5.51; 0.19 
no; 1.8; 70; 79.00; 5.60; 0.20 
no; 1.71; 74; 74.00; 5.79; 0.16 
no; 1.69; 72; 73.00; 5.71; 0.16 
no; 1.78; 69; 74.00; 5.98; 0.17 
yes; 1.8; 67; 81.00; 6.28; 0.16 
no; 1.78; 71; 78.00; 5.73; 0.19 
no; 1.85; 69; 72.00; 5.58; 0.18 
no; 1.69; 69; 73.00; 5.87; 0.19 
no; 1.67; 71; 71.00; 5.54; 0.19 
no; 1.7; 69; 78.00; 5.78; 0.16 
no; 1.68; 69; 71.00; 5.84; 0.15 
yes; 1.8; 67; 77.00; 5.59; 0.15 
no; 1.77; 72; 72.00; 5.98; 0.18 
no; 1.8; 69; 77.00; 5.95; 0.16 
no; 1.68; 74; 71.00; 5.92; 0.16 
no; 1.72; 73; 74.00; 5.87; 0.15 
no; 1.71; 72; 78.00; 5.95; 0.15 
no; 1.71; 69; 75.00; 5.55; 0.19 
no; 1.7; 69; 78.00; 5.62; 0.15 
no; 1.82; 74; 79.00; 5.76; 0.18 
no; 1.79; 74; 74.00; 5.56; 0.18 
no; 1.81; 74; 76.00; 5.97; 0.16 
no; 1.76; 71; 80.00; 5.92; 0.14 
no; 1.79; 73; 78.00; 5.56; 0.16 
no; 1.85; 73; 72.00; 6.00; 0.15 
no; 1.81; 73; 71.00; 5.54; 0.14 
yes; 1.89; 66; 77.00; 6.26; 0.14 
no; 1.8; 72; 72.00; 5.90; 0.20 
no; 1.68; 73; 79.00; 5.51; 0.18 
no; 1.69; 69; 79.00; 5.67; 0.19 
yes; 1.79; 66; 80.00; 6.17; 0.16 
no; 1.81; 74; 76.00; 5.96; 0.17 
yes; 1.81; 68; 76.00; 5.84; 0.15 
no; 1.82; 69; 80.00; 5.84; 0.19 
no; 1.76; 73; 74.00; 5.86; 0.19 
no; 1.81; 73; 78.00; 5.87; 0.19 
no; 1.7; 74; 73.00; 5.82; 0.19 
no; 1.75; 69; 74.00; 5.52; 0.14 
no; 1.81; 74; 73.00; 5.85; 0.16 
no; 1.81; 70; 79.00; 5.53; 0.18 
no; 1.77; 74; 75.00; 5.87; 0.18 
no; 1.74; 70; 78.00; 5.99; 0.17 
no; 1.85; 72; 73.00; 5.74; 0.16 
yes; 1.85; 66; 76.00; 6.15; 0.17 
no; 1.66; 72; 72.00; 5.59; 0.18 
no; 1.75; 74; 72.00; 5.64; 0.15 
no; 1.77; 69; 79.00; 5.98; 0.15 
no; 1.65; 74; 72.00; 5.76; 0.18 
no; 1.78; 73; 79.00; 5.82; 0.19 
no; 1.75; 73; 76.00; 5.73; 0.18 
no; 1.65; 70; 78.00; 5.81; 0.16 
no; 1.72; 74; 77.00; 5.97; 0.15 
no; 1.69; 69; 75.00; 5.80; 0.16 
no; 1.85; 70; 76.00; 5.99; 0.19 
no; 1.83; 69; 75.00; 5.50; 0.19 
no; 1.74; 70; 76.00; 5.65; 0.14 
no; 1.65; 74; 74.00; 5.50; 0.18 
no; 1.73; 71; 78.00; 5.85; 0.15 
no; 1.81; 74; 72.00; 5.89; 0.14 
no; 1.81; 70; 76.00; 5.62; 0.17 
no; 1.79; 73; 75.00; 5.77; 0.20 
no; 1.77; 70; 77.00; 5.68; 0.15 
no; 1.75; 73; 76.00; 5.76; 0.17 
no; 1.73; 71; 80.00; 5.80; 0.18 
no; 1.68; 71; 78.00; 5.53; 0.20 
no; 1.79; 69; 71.00; 5.80; 0.18 
no; 1.83; 72; 75.00; 5.67; 0.18 
no; 1.8; 73; 75.00; 5.82; 0.17 
no; 1.82; 73; 79.00; 5.95; 0.15 
no; 1.72; 69; 78.00; 5.88; 0.18 
no; 1.65; 70; 71.00; 5.84; 0.15 
no; 1.77; 70; 75.00; 5.91; 0.15 
no; 1.76; 74; 80.00; 5.99; 0.20 
no; 1.83; 73; 73.00; 5.58; 0.16 
no; 1.74; 73; 71.00; 5.85; 0.14 
no; 1.67; 72; 77.00; 5.79; 0.18 
no; 1.69; 73; 74.00; 5.69; 0.17 
no; 1.71; 73; 79.00; 5.73; 0.19 
no; 1.72; 70; 76.00; 5.57; 0.17 
no; 1.71; 73; 77.00; 5.55; 0.19 
no; 1.72; 74; 78.00; 5.99; 0.18 
no; 1.65; 73; 79.00; 5.77; 0.15 
no; 1.67; 69; 77.00; 5.92; 0.17 
no; 1.73; 70; 77.00; 5.63; 0.14 
no; 1.76; 73; 75.00; 5.95; 0.18 
no; 1.65; 69; 78.00; 5.98; 0.19 
no; 1.82; 73; 79.00; 5.91; 0.16 
no; 1.67; 72; 78.00; 5.51; 0.16 
no; 1.65; 74; 76.00; 5.52; 0.19 
no; 1.81; 72; 71.00; 5.73; 0.18 
no; 1.65; 73; 72.00; 5.51; 0.16 
no; 1.84; 72; 75.00; 5.51; 0.17 
no; 1.78; 72; 71.00; 5.83; 0.19 
no; 1.65; 73; 77.00; 5.62; 0.16 
no; 1.8; 73; 75.00; 5.96; 0.16 
no; 1.8; 72; 71.00; 5.70; 0.17 
no; 1.84; 74; 73.00; 5.81; 0.18 
no; 1.85; 70; 71.00; 5.62; 0.14 
no; 1.8; 69; 78.00; 5.96; 0.19 
no; 1.72; 74; 72.00; 5.70; 0.19 
no; 1.84; 72; 74.00; 5.71; 0.15 
no; 1.68; 73; 79.00; 5.79; 0.15 
no; 1.73; 74; 80.00; 5.88; 0.19 
no; 1.69; 73; 79.00; 5.77; 0.17 
no; 1.8; 74; 79.00; 5.68; 0.20 
no; 1.85; 70; 72.00; 5.94; 0.17 
no; 1.72; 73; 77.00; 5.70; 0.20 
no; 1.72; 69; 77.00; 5.70; 0.19 
no; 1.72; 74; 77.00; 5.77; 0.19 
no; 1.82; 74; 75.00; 5.61; 0.14 
no; 1.7; 69; 76.00; 5.83; 0.18 
no; 1.76; 69; 77.00; 5.93; 0.18 
no; 1.74; 69; 80.00; 5.52; 0.16 
no; 1.75; 70; 74.00; 5.79; 0.18 
no; 1.72; 69; 78.00; 6.00; 0.14 
no; 1.69; 71; 78.00; 5.60; 0.14 
no; 1.68; 72; 79.00; 5.77; 0.15 
no; 1.81; 74; 73.00; 5.55; 0.19 
no; 1.75; 73; 71.00; 5.79; 0.17 
no; 1.66; 74; 75.00; 5.70; 0.15 
no; 1.81; 72; 77.00; 5.95; 0.19 
no; 1.75; 73; 79.00; 5.53; 0.18 
no; 1.78; 71; 71.00; 5.84; 0.14 
no; 1.78; 70; 77.00; 6.00; 0.19 
no; 1.85; 71; 74.00; 5.87; 0.19 
no; 1.68; 71; 80.00; 5.54; 0.20 
no; 1.77; 70; 77.00; 5.88; 0.17 
no; 1.7; 72; 80.00; 5.53; 0.19 
no; 1.7; 71; 73.00; 5.67; 0.15 
no; 1.83; 72; 80.00; 5.83; 0.19 
no; 1.68; 74; 77.00; 5.74; 0.17 
no; 1.73; 71; 71.00; 5.99; 0.19 
no; 1.69; 71; 80.00; 5.57; 0.20 
no; 1.84; 72; 75.00; 5.94; 0.18 
no; 1.75; 69; 76.00; 5.93; 0.14 
no; 1.74; 74; 80.00; 5.76; 0.17 
no; 1.83; 71; 80.00; 5.77; 0.17 
no; 1.75; 74; 72.00; 5.89; 0.18 
no; 1.66; 71; 80.00; 5.95; 0.17 
no; 1.81; 69; 72.00; 5.57; 0.18 
no; 1.67; 71; 71.00; 5.57; 0.17 
no; 1.85; 74; 80.00; 5.63; 0.19 
no; 1.82; 69; 76.00; 5.60; 0.16 
no; 1.82; 69; 73.00; 5.86; 0.19 
no; 1.65; 70; 75.00; 5.77; 0.19 
no; 1.76; 74; 72.00; 5.94; 0.18 
no; 1.82; 69; 79.00; 5.52; 0.17 
no; 1.83; 69; 79.00; 5.97; 0.15 
no; 1.75; 72; 77.00; 5.65; 0.17 
yes; 1.8; 71; 81.00; 5.74; 0.17 
no; 1.7; 72; 78.00; 5.83; 0.15 
no; 1.82; 72; 79.00; 5.75; 0.17 
no; 1.7; 71; 75.00; 5.58; 0.20 
no; 1.84; 70; 78.00; 5.96; 0.19 
no; 1.84; 69; 77.00; 5.78; 0.15 
no; 1.74; 70; 74.00; 5.77; 0.20 
yes; 1.76; 69; 80.00; 6.21; 0.15 
no; 1.77; 74; 72.00; 5.59; 0.17 
no; 1.73; 70; 79.00; 5.63; 0.15 
no; 1.67; 70; 75.00; 5.92; 0.18 
no; 1.65; 72; 76.00; 5.93; 0.18 
no; 1.85; 72; 74.00; 5.75; 0.16 
no; 1.84; 74; 76.00; 5.96; 0.16 
no; 1.68; 73; 71.00; 5.76; 0.20 
no; 1.78; 70; 77.00; 5.70; 0.16 
no; 1.68; 69; 73.00; 5.66; 0.14 
no; 1.8; 72; 80.00; 5.73; 0.19 
no; 1.76; 71; 73.00; 5.60; 0.16 
no; 1.81; 74; 79.00; 5.94; 0.19 
no; 1.78; 70; 72.00; 5.99; 0.19 
no; 1.76; 73; 77.00; 5.78; 0.15 
no; 1.66; 71; 74.00; 5.54; 0.19 
no; 1.67; 71; 78.00; 5.76; 0.19 
no; 1.83; 72; 79.00; 5.98; 0.14 
no; 1.75; 74; 78.00; 5.58; 0.16 
no; 1.79; 70; 76.00; 5.97; 0.16 
no; 1.85; 69; 71.00; 5.90; 0.18 
no; 1.8; 74; 73.00; 5.99; 0.19 
no; 1.85; 74; 76.00; 5.85; 0.19 
no; 1.81; 73; 75.00; 5.68; 0.16 
no; 1.71; 72; 77.00; 5.52; 0.18 
no; 1.68; 72; 71.00; 5.88; 0.16 
no; 1.7; 74; 74.00; 5.67; 0.16 
no; 1.71; 70; 78.00; 5.92; 0.17 
no; 1.85; 73; 71.00; 5.84; 0.18 
no; 1.71; 69; 76.00; 5.56; 0.20 
no; 1.79; 74; 76.00; 5.88; 0.18 
no; 1.83; 74; 72.00; 5.83; 0.18 
no; 1.72; 73; 74.00; 5.68; 0.15 
no; 1.71; 69; 72.00; 5.94; 0.19 
no; 1.7; 73; 74.00; 5.77; 0.15 
no; 1.75; 72; 77.00; 5.95; 0.19 
no; 1.67; 70; 71.00; 5.82; 0.20 
no; 1.83; 72; 80.00; 5.76; 0.16 
no; 1.84; 73; 79.00; 5.86; 0.19 
no; 1.78; 70; 73.00; 5.69; 0.19 
yes; 1.87; 69; 77.00; 5.68; 0.18 
no; 1.77; 69; 80.00; 5.56; 0.19 
no; 1.66; 74; 75.00; 5.82; 0.18 
no; 1.7; 69; 71.00; 5.69; 0.18 
no; 1.73; 72; 77.00; 5.68; 0.17 
no; 1.69; 72; 80.00; 5.70; 0.19 
no; 1.67; 69; 74.00; 5.65; 0.19 
yes; 1.76; 71; 81.00; 5.75; 0.17 
no; 1.72; 74; 78.00; 5.82; 0.19 
no; 1.77; 70; 75.00; 5.56; 0.19 
no; 1.73; 71; 80.00; 5.58; 0.20 
no; 1.79; 73; 77.00; 5.66; 0.17 
no; 1.74; 74; 73.00; 5.78; 0.17 
no; 1.73; 71; 77.00; 5.81; 0.14 
no; 1.69; 70; 80.00; 5.88; 0.16 
no; 1.8; 69; 80.00; 5.63; 0.18 
no; 1.81; 74; 71.00; 5.72; 0.19 
no; 1.78; 71; 75.00; 5.72; 0.15 
no; 1.68; 74; 80.00; 5.72; 0.17 
no; 1.77; 71; 77.00; 5.97; 0.19 
no; 1.81; 72; 75.00; 5.53; 0.15 
yes; 1.88; 71; 81.00; 6.20; 0.18 
no; 1.75; 69; 80.00; 5.96; 0.17 
no; 1.72; 72; 72.00; 5.66; 0.19 
no; 1.83; 73; 79.00; 5.84; 0.15 
no; 1.78; 73; 80.00; 5.93; 0.14 
no; 1.8; 71; 80.00; 5.55; 0.19 
no; 1.83; 74; 72.00; 5.93; 0.17 
no; 1.76; 70; 79.00; 5.92; 0.15 
no; 1.67; 72; 78.00; 5.55; 0.17 
no; 1.76; 71; 76.00; 5.85; 0.15 
no; 1.81; 72; 71.00; 5.94; 0.16 
no; 1.75; 69; 71.00; 5.65; 0.19 
no; 1.73; 72; 76.00; 5.79; 0.19 
no; 1.73; 72; 72.00; 5.71; 0.17 
no; 1.71; 71; 75.00; 5.95; 0.18 
no; 1.76; 69; 78.00; 5.51; 0.18 
yes; 1.86; 70; 77.00; 5.56; 0.13 
no; 1.71; 74; 78.00; 5.79; 0.18 
no; 1.77; 69; 72.00; 5.67; 0.15 
no; 1.74; 72; 75.00; 5.84; 0.14 
no; 1.73; 70; 72.00; 5.62; 0.16 
no; 1.77; 70; 80.00; 5.63; 0.19 
no; 1.76; 74; 79.00; 5.77; 0.19 
no; 1.77; 72; 72.00; 5.89; 0.17 
no; 1.72; 71; 76.00; 5.75; 0.19 
no; 1.79; 69; 76.00; 5.81; 0.16 
no; 1.82; 69; 80.00; 5.72; 0.16 
no; 1.74; 69; 73.00; 5.98; 0.17 
no; 1.76; 73; 78.00; 5.62; 0.15 
no; 1.84; 70; 78.00; 5.59; 0.15 
no; 1.83; 69; 71.00; 5.96; 0.19 
no; 1.76; 69; 79.00; 5.71; 0.14 
no; 1.67; 73; 74.00; 5.52; 0.17 
no; 1.85; 69; 79.00; 5.73; 0.16 
no; 1.73; 70; 72.00; 5.53; 0.15 
no; 1.72; 72; 74.00; 5.98; 0.17 
no; 1.68; 69; 80.00; 5.74; 0.19 
no; 1.71; 71; 78.00; 5.96; 0.14 
no; 1.69; 71; 71.00; 5.70; 0.19 
no; 1.71; 74; 72.00; 5.58; 0.15 
no; 1.75; 73; 76.00; 5.69; 0.19 
no; 1.73; 74; 78.00; 5.81; 0.15 
no; 1.65; 72; 74.00; 5.51; 0.18 
no; 1.71; 69; 72.00; 5.54; 0.19 
no; 1.84; 72; 79.00; 5.85; 0.19 
no; 1.66; 70; 73.00; 5.95; 0.19 
no; 1.77; 74; 80.00; 5.89; 0.19 
no; 1.65; 69; 75.00; 5.77; 0.20 
no; 1.82; 70; 72.00; 5.85; 0.14 
no; 1.79; 69; 72.00; 5.76; 0.17 
no; 1.67; 74; 74.00; 5.84; 0.14 
no; 1.72; 70; 75.00; 5.76; 0.18 
no; 1.74; 69; 76.00; 5.57; 0.16 
no; 1.82; 71; 76.00; 5.92; 0.15 
no; 1.76; 74; 79.00; 5.80; 0.18 
no; 1.73; 71; 80.00; 5.86; 0.18 
no; 1.82; 71; 78.00; 5.99; 0.18 
no; 1.78; 70; 73.00; 5.85; 0.18 
no; 1.65; 73; 78.00; 5.50; 0.16 
no; 1.85; 72; 79.00; 5.54; 0.17 
no; 1.78; 71; 71.00; 5.90; 0.20 
no; 1.68; 69; 75.00; 5.54; 0.20 
no; 1.8; 69; 75.00; 5.97; 0.15 
no; 1.77; 69; 71.00; 5.70; 0.18 
no; 1.65; 69; 79.00; 5.98; 0.15 
yes; 1.79; 67; 78.00; 6.26; 0.16 
no; 1.65; 72; 75.00; 5.63; 0.16 
no; 1.8; 72; 72.00; 5.71; 0.18 
yes; 1.8; 65; 82.00; 5.58; 0.17 
no; 1.69; 74; 74.00; 5.78; 0.18 
no; 1.82; 69; 75.00; 5.73; 0.14 
no; 1.78; 70; 73.00; 5.76; 0.15 
no; 1.65; 73; 79.00; 5.64; 0.17 
no; 1.66; 69; 75.00; 5.92; 0.18 
no; 1.74; 74; 73.00; 5.59; 0.14 
no; 1.81; 73; 74.00; 5.53; 0.16 
no; 1.83; 73; 80.00; 5.62; 0.18 
no; 1.76; 74; 76.00; 5.94; 0.16 
no; 1.77; 72; 74.00; 5.99; 0.19 
no; 1.79; 72; 74.00; 5.70; 0.15 
no; 1.79; 73; 74.00; 5.92; 0.17 
no; 1.67; 70; 78.00; 5.59; 0.18 
no; 1.67; 69; 79.00; 5.90; 0.17 
no; 1.81; 69; 76.00; 5.54; 0.18 
no; 1.71; 73; 75.00; 5.80; 0.18 
no; 1.72; 74; 78.00; 5.92; 0.18 
no; 1.7; 72; 73.00; 5.72; 0.19 
no; 1.7; 69; 72.00; 5.79; 0.16 
no; 1.69; 72; 73.00; 5.67; 0.17 
no; 1.69; 74; 75.00; 5.60; 0.19 
no; 1.75; 72; 72.00; 5.75; 0.19 
no; 1.67; 72; 72.00; 5.51; 0.19 
no; 1.82; 72; 80.00; 6.00; 0.18 
no; 1.83; 70; 71.00; 5.54; 0.16 
no; 1.82; 72; 78.00; 5.92; 0.15 
no; 1.66; 74; 75.00; 5.82; 0.19 
no; 1.68; 69; 77.00; 5.79; 0.20 
no; 1.68; 73; 80.00; 5.83; 0.15 
no; 1.79; 69; 72.00; 5.67; 0.17 
no; 1.84; 69; 73.00; 5.89; 0.17 
no; 1.72; 70; 78.00; 5.96; 0.15 
no; 1.79; 71; 72.00; 5.94; 0.20 
no; 1.79; 70; 71.00; 5.67; 0.19 
no; 1.66; 70; 78.00; 5.88; 0.20 
no; 1.81; 73; 80.00; 5.76; 0.15 
no; 1.78; 72; 72.00; 5.55; 0.17 
no; 1.83; 71; 72.00; 5.57; 0.20 
no; 1.72; 73; 77.00; 5.61; 0.18 
no; 1.81; 71; 73.00; 5.81; 0.16 
no; 1.83; 72; 73.00; 5.92; 0.17 
no; 1.83; 69; 71.00; 5.75; 0.15 
no; 1.83; 73; 71.00; 5.56; 0.15 
no; 1.71; 73; 73.00; 5.87; 0.19 
no; 1.69; 71; 72.00; 5.61; 0.14 
no; 1.8; 70; 72.00; 5.55; 0.19 
no; 1.69; 72; 79.00; 5.52; 0.14 
no; 1.68; 72; 79.00; 5.51; 0.17 
no; 1.66; 74; 78.00; 5.77; 0.15 
no; 1.65; 73; 76.00; 5.60; 0.17 
no; 1.66; 69; 79.00; 5.60; 0.15 
no; 1.67; 72; 79.00; 5.71; 0.18 
no; 1.8; 73; 76.00; 5.71; 0.17 
no; 1.81; 70; 79.00; 5.92; 0.19 
no; 1.72; 72; 75.00; 5.86; 0.20 
no; 1.83; 71; 73.00; 5.68; 0.19 
no; 1.76; 74; 73.00; 5.84; 0.16 
yes; 1.88; 66; 81.00; 6.20; 0.13 
no; 1.73; 73; 75.00; 5.53; 0.19 
no; 1.66; 71; 73.00; 5.54; 0.17 
no; 1.85; 69; 76.00; 5.71; 0.18 
no; 1.77; 70; 73.00; 5.67; 0.14 
no; 1.73; 70; 77.00; 5.60; 0.16 
no; 1.74; 73; 72.00; 5.78; 0.18 
no; 1.8; 73; 76.00; 5.57; 0.18 
no; 1.74; 74; 78.00; 5.77; 0.15 
no; 1.81; 71; 71.00; 5.98; 0.15 
no; 1.78; 70; 73.00; 5.65; 0.17 
no; 1.72; 69; 76.00; 5.93; 0.18 
no; 1.83; 72; 76.00; 5.82; 0.15 
no; 1.84; 70; 76.00; 5.94; 0.18 
no; 1.66; 72; 78.00; 5.92; 0.18 
no; 1.83; 74; 76.00; 5.51; 0.18 
no; 1.71; 69; 77.00; 5.53; 0.15 
no; 1.71; 71; 78.00; 5.86; 0.16 
no; 1.83; 69; 74.00; 5.66; 0.17 
no; 1.85; 69; 74.00; 5.91; 0.15 
no; 1.85; 74; 78.00; 5.96; 0.16 
no; 1.71; 72; 78.00; 5.77; 0.14 
no; 1.84; 70; 75.00; 5.53; 0.18 
no; 1.75; 70; 77.00; 5.71; 0.16 
no; 1.66; 72; 77.00; 5.87; 0.19 
no; 1.67; 74; 79.00; 5.75; 0.19 
no; 1.78; 72; 75.00; 5.58; 0.14 
no; 1.7; 73; 78.00; 5.76; 0.15 
