record; height; mass; arm length; bicep size; muscle to fat ratio 
no; 1.78; 79; 0.87; 13.50; 0.16 
no; 1.83; 84; 0.90; 13.99; 0.12 
no; 1.75; 80; 0.86; 13.80; 0.18 
yes; 1.88; 80; 0.92; 13.96; 0.10 
no; 1.83; 77; 0.90; 13.23; 0.13 
no; 1.77; 80; 0.87; 13.28; 0.13 
no; 1.82; 82; 0.89; 13.18; 0.13 
no; 1.74; 83; 0.85; 13.22; 0.15 
no; 1.84; 78; 0.90; 13.88; 0.18 
no; 1.84; 77; 0.90; 13.95; 0.16 
no; 1.73; 81; 0.85; 13.82; 0.13 
no; 1.77; 75; 0.87; 13.79; 0.18 
no; 1.77; 77; 0.87; 13.74; 0.17 
no; 1.77; 86; 0.87; 13.52; 0.15 
no; 1.82; 85; 0.89; 13.73; 0.15 
no; 1.78; 79; 0.87; 13.63; 0.13 
no; 1.8; 86; 0.88; 13.19; 0.14 
no; 1.78; 77; 0.87; 13.25; 0.13 
no; 1.74; 77; 0.85; 13.32; 0.13 
no; 1.75; 80; 0.86; 13.80; 0.19 
no; 1.81; 86; 0.89; 13.15; 0.16 
no; 1.78; 80; 0.87; 13.45; 0.14 
no; 1.82; 76; 0.89; 13.25; 0.15 
no; 1.8; 84; 0.88; 13.11; 0.18 
no; 1.71; 83; 0.84; 13.74; 0.16 
yes; 1.8; 87; 0.88; 14.08; 0.13 
no; 1.73; 75; 0.85; 13.41; 0.14 
no; 1.81; 78; 0.89; 13.58; 0.19 
no; 1.72; 77; 0.84; 13.53; 0.16 
no; 1.8; 83; 0.88; 13.72; 0.11 
no; 1.83; 79; 0.90; 13.10; 0.15 
no; 1.85; 75; 0.91; 13.69; 0.14 
no; 1.73; 85; 0.85; 13.97; 0.11 
no; 1.78; 78; 0.87; 13.11; 0.12 
no; 1.73; 78; 0.85; 13.00; 0.13 
no; 1.76; 75; 0.86; 13.13; 0.12 
no; 1.77; 78; 0.87; 13.48; 0.18 
no; 1.74; 75; 0.85; 13.38; 0.14 
no; 1.75; 75; 0.86; 13.92; 0.11 
no; 1.73; 80; 0.85; 13.81; 0.15 
no; 1.76; 84; 0.86; 13.51; 0.16 
no; 1.84; 75; 0.90; 13.05; 0.17 
no; 1.71; 81; 0.84; 13.71; 0.14 
no; 1.79; 84; 0.88; 13.17; 0.11 
no; 1.84; 82; 0.90; 13.88; 0.15 
yes; 1.79; 82; 0.88; 14.09; 0.12 
yes; 1.88; 80; 0.92; 13.65; 0.13 
no; 1.83; 76; 0.90; 13.80; 0.17 
no; 1.76; 82; 0.86; 13.37; 0.16 
no; 1.75; 85; 0.86; 13.39; 0.14 
no; 1.83; 78; 0.90; 13.72; 0.13 
no; 1.81; 77; 0.89; 13.23; 0.17 
yes; 1.84; 83; 0.90; 14.24; 0.12 
no; 1.77; 75; 0.87; 13.43; 0.16 
no; 1.85; 80; 0.91; 13.76; 0.17 
no; 1.72; 84; 0.84; 13.24; 0.14 
no; 1.71; 81; 0.84; 13.03; 0.17 
no; 1.71; 81; 0.84; 13.38; 0.15 
no; 1.8; 83; 0.88; 13.89; 0.14 
no; 1.78; 78; 0.87; 13.67; 0.18 
no; 1.83; 80; 0.90; 13.35; 0.12 
no; 1.84; 86; 0.90; 13.64; 0.18 
no; 1.82; 78; 0.89; 13.42; 0.16 
no; 1.8; 80; 0.88; 13.35; 0.13 
no; 1.83; 77; 0.90; 13.62; 0.18 
no; 1.78; 75; 0.87; 13.04; 0.17 
no; 1.77; 77; 0.87; 13.31; 0.14 
no; 1.83; 82; 0.90; 13.85; 0.13 
no; 1.78; 79; 0.87; 13.95; 0.18 
no; 1.78; 82; 0.87; 13.06; 0.16 
no; 1.73; 85; 0.85; 13.35; 0.12 
no; 1.8; 81; 0.88; 13.41; 0.17 
no; 1.72; 79; 0.84; 13.02; 0.13 
no; 1.85; 82; 0.91; 13.32; 0.19 
yes; 1.82; 83; 0.89; 13.51; 0.15 
no; 1.82; 79; 0.89; 13.31; 0.14 
no; 1.81; 79; 0.89; 13.76; 0.12 
no; 1.72; 79; 0.84; 13.53; 0.16 
no; 1.81; 76; 0.89; 13.67; 0.15 
no; 1.79; 82; 0.88; 13.04; 0.13 
no; 1.72; 86; 0.84; 13.75; 0.15 
no; 1.75; 86; 0.86; 13.37; 0.14 
no; 1.82; 80; 0.89; 13.49; 0.12 
no; 1.72; 78; 0.84; 13.78; 0.15 
no; 1.79; 75; 0.88; 13.20; 0.13 
no; 1.8; 80; 0.88; 13.28; 0.14 
no; 1.77; 81; 0.87; 13.07; 0.14 
yes; 1.89; 89; 0.93; 13.71; 0.15 
no; 1.72; 86; 0.84; 13.54; 0.13 
no; 1.84; 80; 0.90; 13.00; 0.12 
no; 1.81; 78; 0.89; 13.67; 0.16 
no; 1.8; 85; 0.88; 13.44; 0.12 
no; 1.83; 81; 0.90; 13.23; 0.12 
no; 1.85; 79; 0.91; 13.77; 0.14 
no; 1.76; 86; 0.86; 13.06; 0.15 
no; 1.83; 78; 0.90; 13.26; 0.11 
yes; 1.84; 86; 0.90; 13.95; 0.11 
no; 1.71; 81; 0.84; 13.30; 0.15 
no; 1.76; 84; 0.86; 13.64; 0.13 
no; 1.85; 80; 0.91; 13.71; 0.15 
no; 1.77; 76; 0.87; 13.03; 0.14 
no; 1.78; 83; 0.87; 13.95; 0.18 
no; 1.78; 84; 0.87; 13.25; 0.11 
yes; 1.87; 78; 0.92; 13.72; 0.15 
no; 1.76; 85; 0.86; 13.48; 0.16 
no; 1.76; 84; 0.86; 13.75; 0.11 
no; 1.8; 83; 0.88; 13.01; 0.11 
no; 1.83; 84; 0.90; 13.78; 0.12 
no; 1.73; 83; 0.85; 13.00; 0.12 
no; 1.85; 79; 0.91; 13.77; 0.16 
no; 1.75; 80; 0.86; 13.84; 0.14 
no; 1.73; 79; 0.85; 13.73; 0.14 
no; 1.77; 76; 0.87; 13.83; 0.18 
no; 1.81; 82; 0.89; 13.58; 0.16 
no; 1.74; 85; 0.85; 13.37; 0.12 
no; 1.78; 76; 0.87; 13.55; 0.16 
no; 1.79; 80; 0.88; 13.67; 0.13 
no; 1.74; 82; 0.85; 13.17; 0.17 
no; 1.81; 81; 0.89; 13.38; 0.12 
no; 1.75; 77; 0.86; 13.72; 0.12 
no; 1.84; 76; 0.90; 13.73; 0.13 
no; 1.78; 78; 0.87; 13.77; 0.16 
no; 1.77; 79; 0.87; 13.44; 0.12 
no; 1.79; 76; 0.88; 13.63; 0.13 
yes; 1.83; 87; 0.90; 13.59; 0.17 
no; 1.84; 80; 0.90; 13.72; 0.17 
no; 1.74; 77; 0.85; 13.21; 0.15 
no; 1.77; 75; 0.87; 13.64; 0.11 
no; 1.81; 76; 0.89; 13.95; 0.18 
yes; 1.86; 82; 0.91; 13.98; 0.11 
no; 1.82; 80; 0.89; 13.87; 0.15 
no; 1.74; 83; 0.85; 13.42; 0.12 
no; 1.8; 84; 0.88; 13.81; 0.13 
no; 1.76; 85; 0.86; 13.76; 0.13 
no; 1.85; 86; 0.91; 13.62; 0.18 
no; 1.71; 82; 0.84; 13.57; 0.15 
no; 1.81; 78; 0.89; 13.32; 0.17 
no; 1.77; 79; 0.87; 13.23; 0.16 
no; 1.73; 83; 0.85; 13.46; 0.19 
no; 1.78; 78; 0.87; 13.81; 0.15 
no; 1.8; 83; 0.88; 13.66; 0.13 
no; 1.76; 84; 0.86; 13.68; 0.14 
no; 1.71; 85; 0.84; 13.44; 0.12 
no; 1.85; 81; 0.91; 13.88; 0.18 
no; 1.84; 82; 0.90; 13.00; 0.16 
no; 1.74; 79; 0.85; 13.53; 0.11 
no; 1.75; 78; 0.86; 13.82; 0.17 
no; 1.85; 79; 0.91; 13.17; 0.16 
yes; 1.79; 82; 0.88; 13.83; 0.14 
no; 1.75; 83; 0.86; 13.24; 0.15 
no; 1.81; 76; 0.89; 13.10; 0.16 
no; 1.77; 84; 0.87; 13.27; 0.19 
no; 1.83; 76; 0.90; 13.27; 0.18 
no; 1.85; 86; 0.91; 13.44; 0.16 
no; 1.71; 77; 0.84; 13.10; 0.12 
no; 1.82; 79; 0.89; 13.55; 0.16 
no; 1.75; 79; 0.86; 13.87; 0.16 
no; 1.71; 75; 0.84; 13.45; 0.13 
no; 1.82; 76; 0.89; 13.90; 0.15 
no; 1.82; 78; 0.89; 13.01; 0.13 
no; 1.78; 80; 0.87; 13.09; 0.18 
no; 1.73; 80; 0.85; 13.07; 0.11 
no; 1.83; 78; 0.90; 13.41; 0.19 
no; 1.75; 77; 0.86; 13.30; 0.12 
no; 1.71; 82; 0.84; 13.80; 0.17 
no; 1.76; 83; 0.86; 13.75; 0.19 
no; 1.8; 84; 0.88; 13.79; 0.18 
no; 1.72; 86; 0.84; 13.09; 0.14 
no; 1.77; 83; 0.87; 13.07; 0.14 
no; 1.79; 80; 0.88; 13.49; 0.12 
no; 1.82; 80; 0.89; 13.03; 0.17 
no; 1.82; 86; 0.89; 13.18; 0.11 
no; 1.71; 79; 0.84; 13.16; 0.16 
no; 1.85; 82; 0.91; 13.21; 0.18 
no; 1.74; 82; 0.85; 13.83; 0.12 
no; 1.82; 78; 0.89; 13.93; 0.12 
no; 1.8; 83; 0.88; 13.31; 0.17 
no; 1.83; 80; 0.90; 13.74; 0.19 
no; 1.84; 80; 0.90; 13.87; 0.12 
no; 1.81; 86; 0.89; 13.78; 0.16 
no; 1.8; 82; 0.88; 13.76; 0.15 
no; 1.75; 75; 0.86; 13.83; 0.12 
no; 1.83; 81; 0.90; 13.07; 0.16 
no; 1.85; 83; 0.91; 13.62; 0.11 
no; 1.8; 86; 0.88; 13.09; 0.19 
no; 1.81; 86; 0.89; 13.76; 0.15 
no; 1.79; 76; 0.88; 13.00; 0.15 
no; 1.75; 84; 0.86; 13.58; 0.14 
no; 1.77; 80; 0.87; 13.64; 0.17 
no; 1.74; 85; 0.85; 13.41; 0.14 
no; 1.77; 81; 0.87; 13.63; 0.13 
no; 1.74; 78; 0.85; 13.54; 0.16 
no; 1.71; 85; 0.84; 13.55; 0.15 
no; 1.74; 79; 0.85; 13.09; 0.11 
no; 1.77; 80; 0.87; 13.46; 0.16 
no; 1.71; 83; 0.84; 13.57; 0.17 
no; 1.73; 75; 0.85; 13.79; 0.11 
no; 1.76; 86; 0.86; 13.56; 0.17 
no; 1.83; 79; 0.90; 14.00; 0.13 
no; 1.77; 83; 0.87; 13.33; 0.16 
no; 1.73; 81; 0.85; 13.25; 0.15 
no; 1.79; 83; 0.88; 13.71; 0.14 
no; 1.71; 83; 0.84; 13.28; 0.14 
no; 1.76; 86; 0.86; 13.07; 0.13 
no; 1.8; 84; 0.88; 13.10; 0.18 
no; 1.79; 82; 0.88; 13.80; 0.14 
no; 1.76; 77; 0.86; 13.98; 0.17 
no; 1.78; 86; 0.87; 13.26; 0.12 
yes; 1.87; 86; 0.92; 13.62; 0.16 
no; 1.73; 84; 0.85; 13.65; 0.19 
no; 1.75; 77; 0.86; 13.21; 0.12 
no; 1.85; 77; 0.91; 13.37; 0.15 
no; 1.76; 76; 0.86; 13.54; 0.16 
no; 1.77; 78; 0.87; 13.48; 0.17 
no; 1.72; 80; 0.84; 13.96; 0.14 
no; 1.81; 81; 0.89; 13.14; 0.17 
no; 1.72; 82; 0.84; 13.04; 0.17 
no; 1.8; 79; 0.88; 13.68; 0.18 
yes; 1.89; 87; 0.93; 14.25; 0.16 
no; 1.81; 75; 0.89; 13.41; 0.16 
no; 1.71; 85; 0.84; 13.84; 0.12 
no; 1.74; 86; 0.85; 13.48; 0.18 
no; 1.79; 75; 0.88; 13.97; 0.18 
no; 1.78; 81; 0.87; 13.74; 0.14 
no; 1.73; 83; 0.85; 13.68; 0.17 
no; 1.78; 83; 0.87; 13.45; 0.17 
no; 1.83; 85; 0.90; 13.26; 0.14 
no; 1.78; 78; 0.87; 13.38; 0.14 
no; 1.84; 81; 0.90; 13.66; 0.13 
no; 1.73; 85; 0.85; 13.73; 0.16 
no; 1.71; 81; 0.84; 13.53; 0.17 
no; 1.71; 79; 0.84; 13.41; 0.14 
no; 1.71; 82; 0.84; 13.22; 0.19 
no; 1.78; 84; 0.87; 13.95; 0.12 
no; 1.84; 84; 0.90; 13.72; 0.15 
no; 1.71; 75; 0.84; 13.26; 0.18 
no; 1.84; 79; 0.90; 13.70; 0.14 
no; 1.82; 75; 0.89; 13.72; 0.19 
no; 1.71; 77; 0.84; 13.83; 0.16 
no; 1.79; 84; 0.88; 13.65; 0.11 
no; 1.75; 84; 0.86; 13.33; 0.17 
no; 1.82; 84; 0.89; 13.52; 0.12 
no; 1.83; 76; 0.90; 13.22; 0.16 
no; 1.83; 85; 0.90; 13.22; 0.14 
no; 1.76; 76; 0.86; 13.78; 0.14 
no; 1.83; 86; 0.90; 13.73; 0.15 
no; 1.71; 84; 0.84; 13.80; 0.13 
no; 1.81; 83; 0.89; 13.05; 0.18 
no; 1.71; 80; 0.84; 13.59; 0.19 
yes; 1.79; 81; 0.88; 13.97; 0.12 
no; 1.77; 80; 0.87; 13.20; 0.13 
yes; 1.87; 80; 0.92; 13.90; 0.17 
no; 1.76; 75; 0.86; 13.83; 0.18 
no; 1.83; 77; 0.90; 13.47; 0.11 
no; 1.8; 79; 0.88; 13.59; 0.15 
no; 1.85; 86; 0.91; 13.76; 0.12 
no; 1.82; 78; 0.89; 13.62; 0.17 
no; 1.71; 78; 0.84; 13.64; 0.14 
no; 1.75; 81; 0.86; 13.66; 0.14 
no; 1.72; 75; 0.84; 13.14; 0.18 
no; 1.77; 82; 0.87; 13.54; 0.14 
no; 1.71; 84; 0.84; 13.44; 0.14 
no; 1.85; 78; 0.91; 13.92; 0.18 
no; 1.74; 77; 0.85; 13.01; 0.16 
no; 1.82; 84; 0.89; 13.91; 0.12 
no; 1.75; 82; 0.86; 13.80; 0.19 
no; 1.75; 79; 0.86; 13.39; 0.15 
no; 1.73; 83; 0.85; 13.62; 0.11 
no; 1.74; 83; 0.85; 13.32; 0.15 
no; 1.85; 86; 0.91; 13.32; 0.12 
no; 1.78; 86; 0.87; 13.30; 0.16 
no; 1.85; 76; 0.91; 13.99; 0.18 
no; 1.81; 81; 0.89; 13.94; 0.11 
no; 1.72; 76; 0.84; 13.19; 0.13 
no; 1.77; 85; 0.87; 13.05; 0.18 
no; 1.84; 77; 0.90; 14.00; 0.15 
no; 1.83; 82; 0.90; 13.93; 0.16 
no; 1.81; 75; 0.89; 13.06; 0.17 
no; 1.73; 82; 0.85; 13.99; 0.14 
no; 1.83; 83; 0.90; 13.01; 0.14 
no; 1.72; 79; 0.84; 13.26; 0.16 
no; 1.79; 81; 0.88; 13.39; 0.19 
no; 1.78; 79; 0.87; 13.72; 0.11 
no; 1.79; 80; 0.88; 13.91; 0.14 
no; 1.78; 85; 0.87; 13.02; 0.16 
no; 1.71; 83; 0.84; 13.28; 0.12 
no; 1.78; 79; 0.87; 13.89; 0.17 
no; 1.84; 81; 0.90; 13.38; 0.17 
no; 1.82; 76; 0.89; 13.32; 0.18 
no; 1.84; 76; 0.90; 13.10; 0.12 
no; 1.71; 78; 0.84; 13.76; 0.13 
no; 1.71; 79; 0.84; 13.17; 0.16 
no; 1.71; 85; 0.84; 13.85; 0.14 
no; 1.78; 80; 0.87; 13.48; 0.16 
no; 1.75; 85; 0.86; 13.28; 0.14 
yes; 1.79; 89; 0.88; 13.61; 0.14 
no; 1.73; 77; 0.85; 13.15; 0.18 
no; 1.73; 84; 0.85; 13.94; 0.19 
no; 1.77; 80; 0.87; 13.80; 0.18 
no; 1.74; 82; 0.85; 13.76; 0.14 
no; 1.81; 78; 0.89; 13.01; 0.15 
no; 1.84; 80; 0.90; 13.82; 0.12 
no; 1.73; 78; 0.85; 13.80; 0.13 
no; 1.83; 80; 0.90; 13.44; 0.19 
no; 1.83; 81; 0.90; 13.49; 0.11 
no; 1.79; 77; 0.88; 13.82; 0.15 
no; 1.85; 76; 0.91; 13.88; 0.12 
no; 1.8; 79; 0.88; 13.46; 0.18 
no; 1.73; 79; 0.85; 13.09; 0.14 
no; 1.72; 77; 0.84; 13.70; 0.19 
no; 1.85; 78; 0.91; 13.86; 0.14 
no; 1.78; 82; 0.87; 13.72; 0.13 
no; 1.81; 80; 0.89; 13.12; 0.19 
no; 1.84; 86; 0.90; 13.05; 0.13 
no; 1.82; 77; 0.89; 13.77; 0.17 
no; 1.73; 84; 0.85; 13.11; 0.11 
no; 1.81; 83; 0.89; 13.87; 0.19 
no; 1.72; 82; 0.84; 13.31; 0.13 
no; 1.78; 79; 0.87; 13.27; 0.11 
no; 1.75; 78; 0.86; 13.62; 0.11 
no; 1.73; 84; 0.85; 13.42; 0.12 
no; 1.71; 85; 0.84; 13.42; 0.14 
no; 1.76; 76; 0.86; 13.73; 0.14 
no; 1.71; 84; 0.84; 13.30; 0.15 
no; 1.75; 84; 0.86; 13.79; 0.15 
no; 1.84; 84; 0.90; 13.94; 0.17 
yes; 1.84; 82; 0.90; 13.87; 0.17 
no; 1.71; 82; 0.84; 13.77; 0.15 
no; 1.72; 79; 0.84; 13.17; 0.13 
no; 1.72; 85; 0.84; 13.71; 0.19 
no; 1.73; 83; 0.85; 13.34; 0.16 
no; 1.75; 79; 0.86; 13.20; 0.13 
no; 1.73; 83; 0.85; 13.66; 0.16 
no; 1.77; 79; 0.87; 13.69; 0.18 
no; 1.71; 80; 0.84; 13.60; 0.11 
no; 1.75; 82; 0.86; 13.68; 0.13 
no; 1.75; 84; 0.86; 13.24; 0.13 
no; 1.81; 79; 0.89; 13.99; 0.16 
no; 1.82; 81; 0.89; 13.49; 0.16 
no; 1.85; 77; 0.91; 13.85; 0.17 
yes; 1.86; 82; 0.91; 13.90; 0.10 
no; 1.83; 85; 0.90; 13.73; 0.18 
no; 1.77; 86; 0.87; 13.08; 0.16 
no; 1.73; 76; 0.85; 13.06; 0.17 
no; 1.77; 79; 0.87; 13.47; 0.18 
no; 1.82; 76; 0.89; 13.56; 0.18 
no; 1.73; 77; 0.85; 13.97; 0.18 
no; 1.84; 80; 0.90; 13.70; 0.18 
no; 1.84; 80; 0.90; 13.07; 0.18 
yes; 1.79; 78; 0.88; 13.75; 0.15 
no; 1.79; 84; 0.88; 13.98; 0.18 
yes; 1.77; 82; 0.87; 13.96; 0.16 
no; 1.82; 77; 0.89; 13.66; 0.11 
no; 1.74; 76; 0.85; 13.92; 0.18 
no; 1.73; 76; 0.85; 13.35; 0.16 
no; 1.74; 80; 0.85; 13.02; 0.14 
no; 1.74; 80; 0.85; 13.92; 0.18 
no; 1.81; 80; 0.89; 13.07; 0.18 
no; 1.85; 75; 0.91; 13.43; 0.12 
no; 1.78; 79; 0.87; 13.92; 0.18 
no; 1.84; 86; 0.90; 13.86; 0.17 
no; 1.8; 76; 0.88; 13.98; 0.12 
no; 1.77; 85; 0.87; 13.50; 0.14 
no; 1.8; 78; 0.88; 13.55; 0.13 
no; 1.85; 80; 0.91; 13.64; 0.15 
no; 1.75; 77; 0.86; 13.34; 0.15 
no; 1.83; 82; 0.90; 13.25; 0.14 
no; 1.73; 86; 0.85; 13.81; 0.18 
yes; 1.85; 85; 0.91; 14.13; 0.12 
no; 1.71; 77; 0.84; 13.65; 0.15 
yes; 1.87; 78; 0.92; 13.91; 0.15 
no; 1.78; 77; 0.87; 13.86; 0.18 
no; 1.74; 79; 0.85; 13.56; 0.13 
no; 1.76; 75; 0.86; 13.64; 0.17 
no; 1.8; 81; 0.88; 13.19; 0.12 
no; 1.85; 77; 0.91; 13.66; 0.18 
no; 1.79; 85; 0.88; 13.32; 0.18 
no; 1.82; 80; 0.89; 13.45; 0.17 
no; 1.77; 76; 0.87; 13.10; 0.17 
no; 1.84; 76; 0.90; 13.35; 0.14 
no; 1.83; 83; 0.90; 13.68; 0.18 
no; 1.72; 84; 0.84; 13.62; 0.17 
no; 1.72; 83; 0.84; 13.02; 0.12 
no; 1.75; 78; 0.86; 13.76; 0.13 
no; 1.72; 86; 0.84; 13.95; 0.13 
no; 1.85; 77; 0.91; 13.12; 0.11 
no; 1.85; 77; 0.91; 13.38; 0.18 
no; 1.71; 85; 0.84; 13.43; 0.13 
no; 1.83; 83; 0.90; 13.15; 0.16 
no; 1.73; 79; 0.85; 13.47; 0.12 
no; 1.83; 81; 0.90; 13.59; 0.13 
no; 1.78; 81; 0.87; 13.92; 0.18 
no; 1.82; 82; 0.89; 13.98; 0.13 
no; 1.71; 75; 0.84; 13.93; 0.15 
no; 1.83; 79; 0.90; 13.06; 0.17 
no; 1.85; 86; 0.91; 13.10; 0.17 
