"","X","startTime","duration","app","title","url","endTime","date","category"
"75",75,2023-01-22 20:25:00,356.614,"Podgląd","rp0-teoria.pdf – Strona 22 z 33",NA,2023-01-22 20:31:00,2023-01-22,"other"
"76",76,2023-01-22 20:25:00,2.409,"Spotify","Dominic Fike - Elliot's Song - From ""Euphoria"" An HBO Original Series",NA,2023-01-22 20:25:00,2023-01-22,"free time"
"77",77,2023-01-22 20:23:00,113.06,"Podgląd","rp0-teoria.pdf – Strona 21 z 33",NA,2023-01-22 20:25:00,2023-01-22,"other"
"78",78,2023-01-22 20:23:00,1.405,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 20:23:00,2023-01-22,"other"
"79",79,2023-01-22 20:23:00,0.745,"Finder","Finder",NA,2023-01-22 20:23:00,2023-01-22,"other"
"80",80,2023-01-22 20:23:00,0,"Finder","rp",NA,2023-01-22 20:23:00,2023-01-22,"other"
"81",81,2023-01-22 20:23:00,2.825,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 20:23:00,2023-01-22,"other"
"82",82,2023-01-22 20:23:00,2.146,"Podgląd","rp0-teoria.pdf – Strona 21 z 33",NA,2023-01-22 20:23:00,2023-01-22,"other"
"83",83,2023-01-22 20:23:00,0.733,"Finder","Finder",NA,2023-01-22 20:23:00,2023-01-22,"other"
"84",84,2023-01-22 20:23:00,0,"Finder","rp",NA,2023-01-22 20:23:00,2023-01-22,"other"
"85",85,2023-01-22 20:23:00,7.017,"Podgląd","rp0-teoria.pdf – Strona 21 z 33",NA,2023-01-22 20:23:00,2023-01-22,"other"
"86",86,2023-01-22 20:23:00,1.255,"Spotify","mehro - chance with you",NA,2023-01-22 20:23:00,2023-01-22,"free time"
"87",87,2023-01-22 20:21:00,100.351,"Podgląd","rp0-teoria.pdf – Strona 22 z 33",NA,2023-01-22 20:23:00,2023-01-22,"other"
"88",88,2023-01-22 20:21:00,16.36,"Spotify","mehro - chance with you",NA,2023-01-22 20:21:00,2023-01-22,"free time"
"89",89,2023-01-22 20:21:00,2.087,"Spotify","Spotify Premium",NA,2023-01-22 20:21:00,2023-01-22,"free time"
"90",90,2023-01-22 20:21:00,15.178,"Messenger","Messenger",NA,2023-01-22 20:21:00,2023-01-22,"free time"
"91",91,2023-01-22 20:21:00,2.063,"Spotify","Spotify Premium",NA,2023-01-22 20:21:00,2023-01-22,"free time"
"92",92,2023-01-22 20:06:00,314.152,"ScreenSaverEngine","ScreenSaverEngine",NA,2023-01-22 20:11:00,2023-01-22,"other"
"93",93,2023-01-22 20:06:00,0,"ScreenSaverEngine","",NA,2023-01-22 20:06:00,2023-01-22,"other"
"94",94,2023-01-22 20:01:00,301.089,"Spotify","Spotify Premium",NA,2023-01-22 20:06:00,2023-01-22,"free time"
"95",95,2023-01-22 20:01:00,1.86,"Spotify","Cigarettes After Sex - Apocalypse",NA,2023-01-22 20:01:00,2023-01-22,"free time"
"96",96,2023-01-22 19:55:00,376.906,"Podgląd","rp0-teoria.pdf – Strona 20 z 33",NA,2023-01-22 20:01:00,2023-01-22,"other"
"97",97,2023-01-22 19:54:00,39.25,"Spotify","Red Hot Chili Peppers - Porcelain",NA,2023-01-22 19:55:00,2023-01-22,"free time"
"98",98,2023-01-22 19:54:00,25.138,"Spotify","Spotify Premium",NA,2023-01-22 19:54:00,2023-01-22,"free time"
"99",99,2023-01-22 19:53:00,1.011,"Spotify","Metallica - Moth Into Flame",NA,2023-01-22 19:54:00,2023-01-22,"free time"
"100",100,2023-01-22 19:53:00,0.677,"Microsoft Teams","PDF File viewer | Microsoft Teams",NA,2023-01-22 19:53:00,2023-01-22,"other"
"101",101,2023-01-22 19:53:00,32.996,"Podgląd","rp0-teoria.pdf – Strona 19 z 33",NA,2023-01-22 19:53:00,2023-01-22,"other"
"102",102,2023-01-22 19:53:00,1.83,"Microsoft Teams","PDF File viewer | Microsoft Teams",NA,2023-01-22 19:53:00,2023-01-22,"other"
"103",103,2023-01-22 19:50:00,180.329,"Messenger","Messenger",NA,2023-01-22 19:53:00,2023-01-22,"free time"
"104",104,2023-01-22 19:49:00,62.856,"Podgląd","rp0-teoria.pdf – Strona 19 z 33",NA,2023-01-22 19:50:00,2023-01-22,"other"
"105",105,2023-01-22 19:49:00,7.9,"Google Chrome","",NA,2023-01-22 19:49:00,2023-01-22,"studies"
"106",106,2023-01-22 19:48:00,32.713,"Messenger","Messenger",NA,2023-01-22 19:49:00,2023-01-22,"free time"
"107",107,2023-01-22 19:48:00,31.094,"Google Chrome","",NA,2023-01-22 19:48:00,2023-01-22,"studies"
"108",108,2023-01-22 19:41:00,370.071,"Messenger","Messenger",NA,2023-01-22 19:48:00,2023-01-22,"free time"
"109",109,2023-01-22 19:41:00,18.579,"Google Chrome","",NA,2023-01-22 19:41:00,2023-01-22,"studies"
"110",110,2023-01-22 19:36:00,280.372,"Messenger","Messenger",NA,2023-01-22 19:41:00,2023-01-22,"free time"
"111",111,2023-01-22 19:36:00,52.652,"Podgląd","rp0-teoria.pdf – Strona 19 z 33",NA,2023-01-22 19:37:00,2023-01-22,"other"
"112",112,2023-01-22 19:35:00,24.588,"Messenger","Messenger",NA,2023-01-22 19:36:00,2023-01-22,"free time"
"113",113,2023-01-22 19:35:00,2.452,"Messenger","Przeglądarka multimediów",NA,2023-01-22 19:35:00,2023-01-22,"free time"
"114",114,2023-01-22 19:33:00,152.483,"Messenger","Messenger",NA,2023-01-22 19:35:00,2023-01-22,"free time"
"115",115,2023-01-22 19:31:00,72.332,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 19:33:00,2023-01-22,"other"
"116",116,2023-01-22 19:29:00,173.194,"Messenger","Messenger",NA,2023-01-22 19:31:00,2023-01-22,"free time"
"117",117,2023-01-22 19:29:00,1.158,"Microsoft Teams","PDF File viewer | Microsoft Teams",NA,2023-01-22 19:29:00,2023-01-22,"other"
"118",118,2023-01-22 19:23:00,303.348,"Podgląd","rp0-teoria.pdf – Strona 17 z 33",NA,2023-01-22 19:29:00,2023-01-22,"other"
"119",119,2023-01-22 19:23:00,0.908,"Microsoft Teams","PDF File viewer | Microsoft Teams",NA,2023-01-22 19:23:00,2023-01-22,"other"
"120",120,2023-01-22 19:23:00,44.454,"Messenger","Messenger",NA,2023-01-22 19:23:00,2023-01-22,"free time"
"121",121,2023-01-22 19:20:00,188.18,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 19:23:00,2023-01-22,"other"
"122",122,2023-01-22 19:17:00,173.898,"Podgląd","rp0-teoria.pdf – Strona 15 z 33",NA,2023-01-22 19:20:00,2023-01-22,"other"
"123",123,2023-01-22 19:16:00,13.323,"Spotify","Metallica - Creeping Death - Creeping Death EP Version / Remastered",NA,2023-01-22 19:17:00,2023-01-22,"free time"
"124",124,2023-01-22 19:11:00,314.834,"ScreenSaverEngine","ScreenSaverEngine",NA,2023-01-22 19:16:00,2023-01-22,"other"
"125",125,2023-01-22 19:11:00,0,"ScreenSaverEngine","",NA,2023-01-22 19:11:00,2023-01-22,"other"
"126",126,2023-01-22 19:06:00,300.981,"Spotify","Metallica - No Leaf Clover - Live",NA,2023-01-22 19:11:00,2023-01-22,"free time"
"127",127,2023-01-22 19:02:00,249.424,"Spotify","Metallica - The Unforgiven",NA,2023-01-22 19:06:00,2023-01-22,"free time"
"128",128,2023-01-22 19:00:00,109.353,"Podgląd","rp0-teoria.pdf – Strona 14 z 33",NA,2023-01-22 19:02:00,2023-01-22,"other"
"129",129,2023-01-22 19:00:00,11.937,"Spotify","Metallica - The Unforgiven",NA,2023-01-22 19:00:00,2023-01-22,"free time"
"130",130,2023-01-22 18:59:00,0.097,"Spotify","Spotify Premium",NA,2023-01-22 19:00:00,2023-01-22,"free time"
"131",131,2023-01-22 18:59:00,4.132,"Spotify","The Verve - Bitter Sweet Symphony",NA,2023-01-22 19:00:00,2023-01-22,"free time"
"132",132,2023-01-22 18:59:00,0.125,"Spotify","Spotify Premium",NA,2023-01-22 18:59:00,2023-01-22,"free time"
"133",133,2023-01-22 18:59:00,18.456,"Spotify","Imagine Dragons - I Don't Like Myself",NA,2023-01-22 18:59:00,2023-01-22,"free time"
"134",134,2023-01-22 18:59:00,1.727,"Spotify","Imagine Dragons - Higher Ground",NA,2023-01-22 18:59:00,2023-01-22,"free time"
"135",135,2023-01-22 18:59:00,1.007,"Spotify","Imagine Dragons - Enemy (with JID) - from the series Arcane League of Legends",NA,2023-01-22 18:59:00,2023-01-22,"free time"
"136",136,2023-01-22 18:59:00,1.42,"Spotify","Imagine Dragons - Monday",NA,2023-01-22 18:59:00,2023-01-22,"free time"
"137",137,2023-01-22 18:59:00,2.474,"Podgląd","rp0-teoria.pdf – Strona 14 z 33",NA,2023-01-22 18:59:00,2023-01-22,"other"
"138",138,2023-01-22 18:52:00,401.778,"Podgląd","RP0-2021-wyk-wszystkie.pdf – Strona 13 z 34",NA,2023-01-22 18:59:00,2023-01-22,"other"
"139",139,2023-01-22 18:52:00,38.627,"Podgląd","rp0-teoria.pdf – Strona 12 z 33",NA,2023-01-22 18:52:00,2023-01-22,"other"
"140",140,2023-01-22 18:52:00,6.166,"Spotify","Imagine Dragons - Crushed",NA,2023-01-22 18:52:00,2023-01-22,"free time"
"141",141,2023-01-22 18:52:00,1.156,"Kalkulator","",NA,2023-01-22 18:52:00,2023-01-22,"other"
"142",142,2023-01-22 18:51:00,52.934,"Spotify","Imagine Dragons - Crushed",NA,2023-01-22 18:52:00,2023-01-22,"free time"
"143",143,2023-01-22 18:51:00,1.639,"Spotify","Imagine Dragons - Follow You",NA,2023-01-22 18:51:00,2023-01-22,"free time"
"144",144,2023-01-22 18:51:00,0.668,"RStudio","RStudio",NA,2023-01-22 18:51:00,2023-01-22,"studies"
"145",145,2023-01-22 18:44:00,368.217,"Podgląd","rp0-teoria.pdf – Strona 11 z 33",NA,2023-01-22 18:51:00,2023-01-22,"other"
"146",146,2023-01-22 18:44:00,0.493,"RStudio","RStudio",NA,2023-01-22 18:44:00,2023-01-22,"studies"
"147",147,2023-01-22 18:44:00,50.076,"Podgląd","rp0-teoria.pdf – Strona 11 z 33",NA,2023-01-22 18:44:00,2023-01-22,"other"
"148",148,2023-01-22 18:44:00,3.849,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 18:44:00,2023-01-22,"other"
"149",149,2023-01-22 18:41:00,138.36,"Podgląd","rp0-teoria.pdf – Strona 8 z 33",NA,2023-01-22 18:44:00,2023-01-22,"other"
"150",150,2023-01-22 18:41:00,29.816,"Messenger","Messenger",NA,2023-01-22 18:41:00,2023-01-22,"free time"
"151",151,2023-01-22 18:41:00,7.049,"Messenger","Przeglądarka multimediów",NA,2023-01-22 18:41:00,2023-01-22,"free time"
"152",152,2023-01-22 18:41:00,8.703,"Messenger","Messenger",NA,2023-01-22 18:41:00,2023-01-22,"free time"
"153",153,2023-01-22 18:40:00,14.319,"Messenger","Przeglądarka multimediów",NA,2023-01-22 18:41:00,2023-01-22,"free time"
"154",154,2023-01-22 18:40:00,35.443,"Messenger","Messenger",NA,2023-01-22 18:40:00,2023-01-22,"free time"
"155",155,2023-01-22 18:39:00,52.827,"Google Chrome","",NA,2023-01-22 18:40:00,2023-01-22,"studies"
"156",156,2023-01-22 18:39:00,7.359,"Messenger","Messenger",NA,2023-01-22 18:39:00,2023-01-22,"free time"
"157",157,2023-01-22 18:38:00,12.501,"Google Chrome","",NA,2023-01-22 18:39:00,2023-01-22,"studies"
"158",158,2023-01-22 18:38:00,33.855,"Messenger","Messenger",NA,2023-01-22 18:38:00,2023-01-22,"free time"
"159",159,2023-01-22 18:38:00,2.266,"Messenger","Przeglądarka multimediów",NA,2023-01-22 18:38:00,2023-01-22,"free time"
"160",160,2023-01-22 18:38:00,5.834,"Messenger","Messenger",NA,2023-01-22 18:38:00,2023-01-22,"free time"
"161",161,2023-01-22 18:38:00,3.664,"Spotify","Imagine Dragons - Symphony",NA,2023-01-22 18:38:00,2023-01-22,"free time"
"162",162,2023-01-22 18:33:00,254.641,"Podgląd","rp0-teoria.pdf – Strona 6 z 33",NA,2023-01-22 18:38:00,2023-01-22,"other"
"163",163,2023-01-22 18:33:00,25.847,"Google Chrome","",NA,2023-01-22 18:33:00,2023-01-22,"studies"
"164",164,2023-01-22 18:33:00,0,"Google Chrome","",NA,2023-01-22 18:33:00,2023-01-22,"studies"
"165",165,2023-01-22 18:33:00,0,"Google Chrome","",NA,2023-01-22 18:33:00,2023-01-22,"studies"
"166",166,2023-01-22 18:33:00,8.033,"Discord","#rp | Premium Membership - Discord",NA,2023-01-22 18:33:00,2023-01-22,"other"
"167",167,2023-01-22 18:33:00,3.504,"Discord","#numerki | Premium Membership - Discord",NA,2023-01-22 18:33:00,2023-01-22,"other"
"168",168,2023-01-22 18:33:00,2.058,"Discord","ALE MI SIE NIE CHCE NIE - Discord",NA,2023-01-22 18:33:00,2023-01-22,"other"
"169",169,2023-01-22 18:32:00,58.806,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:33:00,2023-01-22,"other"
"170",170,2023-01-22 18:32:00,15.024,"ScreenSaverEngine","ScreenSaverEngine",NA,2023-01-22 18:32:00,2023-01-22,"other"
"171",171,2023-01-22 18:32:00,0,"ScreenSaverEngine","",NA,2023-01-22 18:32:00,2023-01-22,"other"
"172",172,2023-01-22 18:26:00,308.287,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:32:00,2023-01-22,"other"
"173",173,2023-01-22 18:26:00,7.92,"Spotify","Imagine Dragons - Ferris Wheel",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"174",174,2023-01-22 18:26:00,2.353,"Spotify","Imagine Dragons - No Time For Toxic People",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"175",175,2023-01-22 18:26:00,0.243,"Spotify","Spotify Premium",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"176",176,2023-01-22 18:26:00,24.104,"Spotify","Pink Floyd - Mother - 2011 Remastered Version",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"177",177,2023-01-22 18:26:00,0,"Spotify","Pink Floyd - Mother - 2011 Remastered Version",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"178",178,2023-01-22 18:26:00,0,"Spotify","Pink Floyd - Mother - 2011 Remastered Version",NA,2023-01-22 18:26:00,2023-01-22,"free time"
"179",179,2023-01-22 18:26:00,2.037,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:26:00,2023-01-22,"other"
"180",180,2023-01-22 18:25:00,39.252,"Podgląd","RP0-2021-wyk-wszystkie.pdf – Strona 4 z 34",NA,2023-01-22 18:26:00,2023-01-22,"other"
"181",181,2023-01-22 18:25:00,20.569,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:25:00,2023-01-22,"other"
"182",182,2023-01-22 18:24:00,39.808,"Messenger","Messenger",NA,2023-01-22 18:25:00,2023-01-22,"free time"
"183",183,2023-01-22 18:24:00,20.942,"Google Chrome","",NA,2023-01-22 18:24:00,2023-01-22,"studies"
"184",184,2023-01-22 18:24:00,4.93,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:24:00,2023-01-22,"other"
"185",185,2023-01-22 18:23:00,51.04,"Messenger","Messenger",NA,2023-01-22 18:24:00,2023-01-22,"free time"
"186",186,2023-01-22 18:23:00,6.392,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:23:00,2023-01-22,"other"
"187",187,2023-01-22 18:23:00,1.283,"Messenger","Messenger",NA,2023-01-22 18:23:00,2023-01-22,"free time"
"188",188,2023-01-22 18:23:00,5.077,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:23:00,2023-01-22,"other"
"189",189,2023-01-22 18:22:00,42.391,"Messenger","Messenger",NA,2023-01-22 18:23:00,2023-01-22,"free time"
"190",190,2023-01-22 18:22:00,0.859,"Podgląd","rp0-teoria.pdf – Strona 5 z 33",NA,2023-01-22 18:22:00,2023-01-22,"other"
"191",191,2023-01-22 18:22:00,16.894,"Podgląd","RP0-2021-wyk-wszystkie.pdf – Strona 1 z 34",NA,2023-01-22 18:22:00,2023-01-22,"other"
"192",192,2023-01-22 18:17:00,273.6,"Podgląd","rp0-teoria.pdf – Strona 3 z 33",NA,2023-01-22 18:22:00,2023-01-22,"other"
"193",193,2023-01-22 18:17:00,13.884,"Google Chrome","",NA,2023-01-22 18:17:00,2023-01-22,"studies"
"194",194,2023-01-22 18:17:00,6.172,"Podgląd","rp0-teoria.pdf – Strona 3 z 33",NA,2023-01-22 18:17:00,2023-01-22,"other"
"195",195,2023-01-22 18:09:00,492.93,"Podgląd","RP0-2021-wyk-wszystkie.pdf – Strona 1 z 34",NA,2023-01-22 18:17:00,2023-01-22,"other"
"196",196,2023-01-22 18:08:00,12.845,"Podgląd","rp0-teoria.pdf – Strona 2 z 33",NA,2023-01-22 18:09:00,2023-01-22,"other"
"197",197,2023-01-22 18:06:00,129.583,"Spotify","Pink Floyd - Hey You - 2011 Remastered Version",NA,2023-01-22 18:08:00,2023-01-22,"free time"
"198",198,2023-01-22 18:05:00,43.502,"Messenger","Messenger",NA,2023-01-22 18:06:00,2023-01-22,"free time"
"199",199,2023-01-22 18:04:00,95.557,"Podgląd","RP0-2021-wyk-wszystkie.pdf – Strona 1 z 34",NA,2023-01-22 18:05:00,2023-01-22,"other"
"200",200,2023-01-22 18:04:00,0.439,"Podgląd","rp0-teoria.pdf – Strona 1 z 33",NA,2023-01-22 18:04:00,2023-01-22,"other"
"201",201,2023-01-22 18:04:00,2.901,"Finder","rp",NA,2023-01-22 18:04:00,2023-01-22,"other"
"202",202,2023-01-22 18:04:00,2.919,"Finder","studiowe",NA,2023-01-22 18:04:00,2023-01-22,"other"
"203",203,2023-01-22 18:04:00,6.805,"Finder","Pobrane rzeczy",NA,2023-01-22 18:04:00,2023-01-22,"other"
"204",204,2023-01-22 18:04:00,2.902,"Finder","rp",NA,2023-01-22 18:04:00,2023-01-22,"other"
"205",205,2023-01-22 18:03:00,45.507,"Google Chrome","",NA,2023-01-22 18:04:00,2023-01-22,"studies"
"206",206,2023-01-22 18:01:00,106.033,"Messenger","Messenger",NA,2023-01-22 18:03:00,2023-01-22,"free time"
"207",207,2023-01-22 18:01:00,8.93,"Spotify","Pink Floyd - Another Brick In The Wall, Pt. 3 - 2011 Remastered Version",NA,2023-01-22 18:01:00,2023-01-22,"free time"
