"","P_DZIEDZINA","P_ROKDYP","dosw","P_WOJ","WOJ_NAME","sredni_czas"
"72"," nauk humanistycznych",2016,"Nie",16,"opolskie",10.315
"73"," nauk humanistycznych",2016,"Nie",18,"podkarpackie",13.38
"74"," nauk humanistycznych",2016,"Nie",20,"podlaskie",14.6907142857143
"75"," nauk humanistycznych",2016,"Nie",22,"pomorskie",12.9094
"76"," nauk humanistycznych",2016,"Nie",24,"śląskie",13.0558333333333
"77"," nauk humanistycznych",2016,"Nie",26,"świętokrzyskie",12.70125
"78"," nauk humanistycznych",2016,"Nie",28,"warmińsko-mazurskie",13.0125
"79"," nauk humanistycznych",2016,"Nie",30,"wielkopolskie",12.3192682926829
"80"," nauk humanistycznych",2016,"Nie",32,"zachodniopomorskie",13.6522222222222
"81"," nauk humanistycznych",2016,"Tak",2,"dolnośląskie",4.281
"82"," nauk humanistycznych",2016,"Tak",4,"kujawsko-pomorskie",4.38674418604651
"83"," nauk humanistycznych",2016,"Tak",6,"lubelskie",5.65121212121212
"84"," nauk humanistycznych",2016,"Tak",8,"lubuskie",6.65714285714286
"85"," nauk humanistycznych",2016,"Tak",10,"łódzkie",3.69181818181818
"86"," nauk humanistycznych",2016,"Tak",12,"małopolskie",5.09661016949153
"87"," nauk humanistycznych",2016,"Tak",14,"mazowieckie",5.13110091743119
"88"," nauk humanistycznych",2016,"Tak",16,"opolskie",3.940625
"89"," nauk humanistycznych",2016,"Tak",18,"podkarpackie",4.14961538461538
"90"," nauk humanistycznych",2016,"Tak",20,"podlaskie",3.46307692307692
"91"," nauk humanistycznych",2016,"Tak",22,"pomorskie",5.637
"92"," nauk humanistycznych",2016,"Tak",24,"śląskie",4.043
"93"," nauk humanistycznych",2016,"Tak",26,"świętokrzyskie",4.45285714285714
"94"," nauk humanistycznych",2016,"Tak",28,"warmińsko-mazurskie",5.43055555555556
"95"," nauk humanistycznych",2016,"Tak",30,"wielkopolskie",4.41219512195122
"96"," nauk humanistycznych",2016,"Tak",32,"zachodniopomorskie",4.02925925925926
"97"," nauk humanistycznych",2017,"Nie",2,"dolnośląskie",12.5913559322034
"98"," nauk humanistycznych",2017,"Nie",4,"kujawsko-pomorskie",12.8245238095238
"99"," nauk humanistycznych",2017,"Nie",6,"lubelskie",13.6471111111111
"100"," nauk humanistycznych",2017,"Nie",8,"lubuskie",13.015
"101"," nauk humanistycznych",2017,"Nie",10,"łódzkie",12.22525
"102"," nauk humanistycznych",2017,"Nie",12,"małopolskie",11.9303787878788
"103"," nauk humanistycznych",2017,"Nie",14,"mazowieckie",12.050990990991
"104"," nauk humanistycznych",2017,"Nie",16,"opolskie",9.99705882352941
"105"," nauk humanistycznych",2017,"Nie",18,"podkarpackie",12.4025
"106"," nauk humanistycznych",2017,"Nie",20,"podlaskie",14.2846666666667
"107"," nauk humanistycznych",2017,"Nie",22,"pomorskie",11.1797777777778
"108"," nauk humanistycznych",2017,"Nie",24,"śląskie",12.08875
"109"," nauk humanistycznych",2017,"Nie",26,"świętokrzyskie",15.4183333333333
"110"," nauk humanistycznych",2017,"Nie",28,"warmińsko-mazurskie",13.0205882352941
"111"," nauk humanistycznych",2017,"Nie",30,"wielkopolskie",12.4252380952381
"112"," nauk humanistycznych",2017,"Nie",32,"zachodniopomorskie",13.0271428571429
"113"," nauk humanistycznych",2017,"Tak",2,"dolnośląskie",5.7655737704918
"114"," nauk humanistycznych",2017,"Tak",4,"kujawsko-pomorskie",4.79365853658537
"115"," nauk humanistycznych",2017,"Tak",6,"lubelskie",5.38277777777778
"116"," nauk humanistycznych",2017,"Tak",8,"lubuskie",3.84333333333333
"117"," nauk humanistycznych",2017,"Tak",10,"łódzkie",4.32675
"118"," nauk humanistycznych",2017,"Tak",12,"małopolskie",4.20815384615385
"119"," nauk humanistycznych",2017,"Tak",14,"mazowieckie",4.25414414414414
"120"," nauk humanistycznych",2017,"Tak",16,"opolskie",4.04470588235294
"121"," nauk humanistycznych",2017,"Tak",18,"podkarpackie",4.01538461538462
"122"," nauk humanistycznych",2017,"Tak",20,"podlaskie",4.25384615384615
"123"," nauk humanistycznych",2017,"Tak",22,"pomorskie",4.51297872340426
"124"," nauk humanistycznych",2017,"Tak",24,"śląskie",3.55056338028169
"125"," nauk humanistycznych",2017,"Tak",26,"świętokrzyskie",4.85166666666667
"126"," nauk humanistycznych",2017,"Tak",28,"warmińsko-mazurskie",4.92125
"127"," nauk humanistycznych",2017,"Tak",30,"wielkopolskie",4.71153846153846
"128"," nauk humanistycznych",2017,"Tak",32,"zachodniopomorskie",4.59
"129"," nauk humanistycznych",2018,"Nie",2,"dolnośląskie",10.9244262295082
"130"," nauk humanistycznych",2018,"Nie",4,"kujawsko-pomorskie",8.51973684210526
"131"," nauk humanistycznych",2018,"Nie",6,"lubelskie",14.5855813953488
"132"," nauk humanistycznych",2018,"Nie",8,"lubuskie",9.5025
"133"," nauk humanistycznych",2018,"Nie",10,"łódzkie",10.5455263157895
"134"," nauk humanistycznych",2018,"Nie",12,"małopolskie",11.3599173553719
"135"," nauk humanistycznych",2018,"Nie",14,"mazowieckie",10.5689583333333
"136"," nauk humanistycznych",2018,"Nie",16,"opolskie",8.32133333333333
"137"," nauk humanistycznych",2018,"Nie",18,"podkarpackie",11.66
"138"," nauk humanistycznych",2018,"Nie",20,"podlaskie",12.245625
"139"," nauk humanistycznych",2018,"Nie",22,"pomorskie",10.4884782608696
"140"," nauk humanistycznych",2018,"Nie",24,"śląskie",11.4712280701754
"141"," nauk humanistycznych",2018,"Nie",26,"świętokrzyskie",6.16833333333333
"142"," nauk humanistycznych",2018,"Nie",28,"warmińsko-mazurskie",10.6352941176471
"143"," nauk humanistycznych",2018,"Nie",30,"wielkopolskie",10.3822916666667
"144"," nauk humanistycznych",2018,"Nie",32,"zachodniopomorskie",9.804
"145"," nauk humanistycznych",2018,"Tak",2,"dolnośląskie",4.245
"146"," nauk humanistycznych",2018,"Tak",4,"kujawsko-pomorskie",3.83410256410256
"147"," nauk humanistycznych",2018,"Tak",6,"lubelskie",6.0172972972973
"148"," nauk humanistycznych",2018,"Tak",8,"lubuskie",3.07142857142857
"149"," nauk humanistycznych",2018,"Tak",10,"łódzkie",4.47948717948718
"150"," nauk humanistycznych",2018,"Tak",12,"małopolskie",4.20175
"151"," nauk humanistycznych",2018,"Tak",14,"mazowieckie",4.0301030927835
"152"," nauk humanistycznych",2018,"Tak",16,"opolskie",3.04666666666667
"153"," nauk humanistycznych",2018,"Tak",18,"podkarpackie",3.91153846153846
"154"," nauk humanistycznych",2018,"Tak",20,"podlaskie",2.458
"155"," nauk humanistycznych",2018,"Tak",22,"pomorskie",4.14152173913044
"156"," nauk humanistycznych",2018,"Tak",24,"śląskie",4.36036363636364
"157"," nauk humanistycznych",2018,"Tak",26,"świętokrzyskie",2.64833333333333
"158"," nauk humanistycznych",2018,"Tak",28,"warmińsko-mazurskie",4.85388888888889
"159"," nauk humanistycznych",2018,"Tak",30,"wielkopolskie",4.06816326530612
"160"," nauk humanistycznych",2018,"Tak",32,"zachodniopomorskie",3.98571428571429
"161"," nauk humanistycznych",2019,"Nie",2,"dolnośląskie",9.10190476190476
"162"," nauk humanistycznych",2019,"Nie",4,"kujawsko-pomorskie",9.3195652173913
"163"," nauk humanistycznych",2019,"Nie",6,"lubelskie",8.84028571428571
"164"," nauk humanistycznych",2019,"Nie",8,"lubuskie",9.1375
"165"," nauk humanistycznych",2019,"Nie",10,"łódzkie",9.14617647058824
"166"," nauk humanistycznych",2019,"Nie",12,"małopolskie",9.14
"167"," nauk humanistycznych",2019,"Nie",14,"mazowieckie",8.92410526315789
"168"," nauk humanistycznych",2019,"Nie",16,"opolskie",5.58916666666667
"169"," nauk humanistycznych",2019,"Nie",18,"podkarpackie",9.65714285714286
"170"," nauk humanistycznych",2019,"Nie",20,"podlaskie",9.03357142857143
"171"," nauk humanistycznych",2019,"Nie",22,"pomorskie",9.64279069767442
"172"," nauk humanistycznych",2019,"Nie",24,"śląskie",9.37152542372881
"173"," nauk humanistycznych",2019,"Nie",26,"świętokrzyskie",6.26666666666667
"174"," nauk humanistycznych",2019,"Nie",28,"warmińsko-mazurskie",11.7407692307692
"175"," nauk humanistycznych",2019,"Nie",30,"wielkopolskie",9.3612962962963
"176"," nauk humanistycznych",2019,"Nie",32,"zachodniopomorskie",9.736
"177"," nauk humanistycznych",2019,"Tak",2,"dolnośląskie",4.35769230769231
"178"," nauk humanistycznych",2019,"Tak",4,"kujawsko-pomorskie",4.58
"179"," nauk humanistycznych",2019,"Tak",6,"lubelskie",4.998125
"180"," nauk humanistycznych",2019,"Tak",8,"lubuskie",8.3375
"181"," nauk humanistycznych",2019,"Tak",10,"łódzkie",3.59
"182"," nauk humanistycznych",2019,"Tak",12,"małopolskie",3.1296
"183"," nauk humanistycznych",2019,"Tak",14,"mazowieckie",2.87137254901961
"184"," nauk humanistycznych",2019,"Tak",16,"opolskie",2.22833333333333
"185"," nauk humanistycznych",2019,"Tak",18,"podkarpackie",3.90714285714286
"186"," nauk humanistycznych",2019,"Tak",20,"podlaskie",3.96733333333333
"187"," nauk humanistycznych",2019,"Tak",22,"pomorskie",3.92790697674419
"188"," nauk humanistycznych",2019,"Tak",24,"śląskie",3.66555555555556
"189"," nauk humanistycznych",2019,"Tak",26,"świętokrzyskie",3.12333333333333
"190"," nauk humanistycznych",2019,"Tak",28,"warmińsko-mazurskie",4.715
"191"," nauk humanistycznych",2019,"Tak",30,"wielkopolskie",4.28557692307692
"192"," nauk humanistycznych",2019,"Tak",32,"zachodniopomorskie",3.95466666666667
"193"," nauk humanistycznych",2020,"Nie",2,"dolnośląskie",4.5365
"194"," nauk humanistycznych",2020,"Nie",4,"kujawsko-pomorskie",4.40533333333333
"195"," nauk humanistycznych",2020,"Nie",6,"lubelskie",5.3715625
"196"," nauk humanistycznych",2020,"Nie",8,"lubuskie",4.4
"197"," nauk humanistycznych",2020,"Nie",10,"łódzkie",4.54107142857143
"198"," nauk humanistycznych",2020,"Nie",12,"małopolskie",4.9496
"199"," nauk humanistycznych",2020,"Nie",14,"mazowieckie",4.44152542372881
"200"," nauk humanistycznych",2020,"Nie",16,"opolskie",4.652
"201"," nauk humanistycznych",2020,"Nie",18,"podkarpackie",5.664375
"202"," nauk humanistycznych",2020,"Nie",20,"podlaskie",6.03153846153846
"203"," nauk humanistycznych",2020,"Nie",22,"pomorskie",4.6865
"204"," nauk humanistycznych",2020,"Nie",24,"śląskie",4.49865384615385
"205"," nauk humanistycznych",2020,"Nie",26,"świętokrzyskie",5.10166666666667
"206"," nauk humanistycznych",2020,"Nie",28,"warmińsko-mazurskie",5.6225
"207"," nauk humanistycznych",2020,"Nie",30,"wielkopolskie",3.78690476190476
"208"," nauk humanistycznych",2020,"Nie",32,"zachodniopomorskie",4.57625
"209"," nauk humanistycznych",2020,"Tak",2,"dolnośląskie",2.63268292682927
"210"," nauk humanistycznych",2020,"Tak",4,"kujawsko-pomorskie",2.45466666666667
"211"," nauk humanistycznych",2020,"Tak",6,"lubelskie",1.81321428571429
"212"," nauk humanistycznych",2020,"Tak",8,"lubuskie",1.426
"213"," nauk humanistycznych",2020,"Tak",10,"łódzkie",1.37344827586207
"214"," nauk humanistycznych",2020,"Tak",12,"małopolskie",2.14739726027397
"215"," nauk humanistycznych",2020,"Tak",14,"mazowieckie",1.53078125
"216"," nauk humanistycznych",2020,"Tak",16,"opolskie",1.72666666666667
"217"," nauk humanistycznych",2020,"Tak",18,"podkarpackie",2.12125
"218"," nauk humanistycznych",2020,"Tak",20,"podlaskie",2.79083333333333
"219"," nauk humanistycznych",2020,"Tak",22,"pomorskie",1.7580487804878
"220"," nauk humanistycznych",2020,"Tak",24,"śląskie",1.99
"221"," nauk humanistycznych",2020,"Tak",26,"świętokrzyskie",1.684
"222"," nauk humanistycznych",2020,"Tak",28,"warmińsko-mazurskie",2.0475
"223"," nauk humanistycznych",2020,"Tak",30,"wielkopolskie",2.07833333333333
"224"," nauk humanistycznych",2020,"Tak",32,"zachodniopomorskie",2.31588235294118
"225"," nauk inżynieryjno-technicznych",2014,"Nie",2,"dolnośląskie",7.44070707070707
"226"," nauk inżynieryjno-technicznych",2014,"Nie",4,"kujawsko-pomorskie",7.04
"227"," nauk inżynieryjno-technicznych",2014,"Nie",6,"lubelskie",11.6375
"228"," nauk inżynieryjno-technicznych",2014,"Nie",8,"lubuskie",6.56230769230769
"229"," nauk inżynieryjno-technicznych",2014,"Nie",10,"łódzkie",7.70881355932203
"230"," nauk inżynieryjno-technicznych",2014,"Nie",12,"małopolskie",9.58386503067485
"231"," nauk inżynieryjno-technicznych",2014,"Nie",14,"mazowieckie",8.66535211267606
"232"," nauk inżynieryjno-technicznych",2014,"Nie",16,"opolskie",8.84090909090909
"233"," nauk inżynieryjno-technicznych",2014,"Nie",18,"podkarpackie",7.42595238095238
"234"," nauk inżynieryjno-technicznych",2014,"Nie",20,"podlaskie",10.2874074074074
"235"," nauk inżynieryjno-technicznych",2014,"Nie",22,"pomorskie",9.527375
"236"," nauk inżynieryjno-technicznych",2014,"Nie",24,"śląskie",8.14059210526316
"237"," nauk inżynieryjno-technicznych",2014,"Nie",26,"świętokrzyskie",10.0241176470588
"238"," nauk inżynieryjno-technicznych",2014,"Nie",28,"warmińsko-mazurskie",6.98645161290323
"239"," nauk inżynieryjno-technicznych",2014,"Nie",30,"wielkopolskie",7.15088888888889
"240"," nauk inżynieryjno-technicznych",2014,"Nie",32,"zachodniopomorskie",9.29654545454545
"241"," nauk inżynieryjno-technicznych",2014,"Tak",2,"dolnośląskie",0.9
"242"," nauk inżynieryjno-technicznych",2014,"Tak",4,"kujawsko-pomorskie",0.354
"243"," nauk inżynieryjno-technicznych",2014,"Tak",6,"lubelskie",0.881470588235294
"244"," nauk inżynieryjno-technicznych",2014,"Tak",8,"lubuskie",0.522727272727273
"245"," nauk inżynieryjno-technicznych",2014,"Tak",10,"łódzkie",0.774313725490196
"246"," nauk inżynieryjno-technicznych",2014,"Tak",12,"małopolskie",0.522231404958678
"247"," nauk inżynieryjno-technicznych",2014,"Tak",14,"mazowieckie",0.63968
"248"," nauk inżynieryjno-technicznych",2014,"Tak",16,"opolskie",0.41375
"249"," nauk inżynieryjno-technicznych",2014,"Tak",18,"podkarpackie",0.771612903225806
"250"," nauk inżynieryjno-technicznych",2014,"Tak",20,"podlaskie",0.985555555555556
"251"," nauk inżynieryjno-technicznych",2014,"Tak",22,"pomorskie",0.951694915254237
"252"," nauk inżynieryjno-technicznych",2014,"Tak",24,"śląskie",0.784183673469388
"253"," nauk inżynieryjno-technicznych",2014,"Tak",26,"świętokrzyskie",1.01166666666667
"254"," nauk inżynieryjno-technicznych",2014,"Tak",28,"warmińsko-mazurskie",1.08714285714286
"255"," nauk inżynieryjno-technicznych",2014,"Tak",30,"wielkopolskie",0.483333333333333
"256"," nauk inżynieryjno-technicznych",2014,"Tak",32,"zachodniopomorskie",1.15326086956522
"257"," nauk inżynieryjno-technicznych",2015,"Nie",2,"dolnośląskie",10.2585714285714
"258"," nauk inżynieryjno-technicznych",2015,"Nie",4,"kujawsko-pomorskie",9.591
"259"," nauk inżynieryjno-technicznych",2015,"Nie",6,"lubelskie",12.4188524590164
"260"," nauk inżynieryjno-technicznych",2015,"Nie",8,"lubuskie",9.15611111111111
"261"," nauk inżynieryjno-technicznych",2015,"Nie",10,"łódzkie",12.0703225806452
"262"," nauk inżynieryjno-technicznych",2015,"Nie",12,"małopolskie",11.4167878787879
"263"," nauk inżynieryjno-technicznych",2015,"Nie",14,"mazowieckie",11.6901775147929
"264"," nauk inżynieryjno-technicznych",2015,"Nie",16,"opolskie",11.842962962963
"265"," nauk inżynieryjno-technicznych",2015,"Nie",18,"podkarpackie",11.1304918032787
"266"," nauk inżynieryjno-technicznych",2015,"Nie",20,"podlaskie",13.83
"267"," nauk inżynieryjno-technicznych",2015,"Nie",22,"pomorskie",12.4298461538462
"268"," nauk inżynieryjno-technicznych",2015,"Nie",24,"śląskie",9.53825
"269"," nauk inżynieryjno-technicznych",2015,"Nie",26,"świętokrzyskie",10.9816666666667
"270"," nauk inżynieryjno-technicznych",2015,"Nie",28,"warmińsko-mazurskie",10.9196774193548
"271"," nauk inżynieryjno-technicznych",2015,"Nie",30,"wielkopolskie",10.06575
"272"," nauk inżynieryjno-technicznych",2015,"Nie",32,"zachodniopomorskie",11.3906557377049
"273"," nauk inżynieryjno-technicznych",2015,"Tak",2,"dolnośląskie",3.8925
"274"," nauk inżynieryjno-technicznych",2015,"Tak",4,"kujawsko-pomorskie",2.80895833333333
"275"," nauk inżynieryjno-technicznych",2015,"Tak",6,"lubelskie",4.59048387096774
"276"," nauk inżynieryjno-technicznych",2015,"Tak",8,"lubuskie",3.60590909090909
"277"," nauk inżynieryjno-technicznych",2015,"Tak",10,"łódzkie",4.9730985915493
"278"," nauk inżynieryjno-technicznych",2015,"Tak",12,"małopolskie",4.93291666666667
"279"," nauk inżynieryjno-technicznych",2015,"Tak",14,"mazowieckie",3.81938888888889
"280"," nauk inżynieryjno-technicznych",2015,"Tak",16,"opolskie",4.09689655172414
"281"," nauk inżynieryjno-technicznych",2015,"Tak",18,"podkarpackie",5.04645161290323
"282"," nauk inżynieryjno-technicznych",2015,"Tak",20,"podlaskie",4.3230303030303
"283"," nauk inżynieryjno-technicznych",2015,"Tak",22,"pomorskie",5.10970588235294
"284"," nauk inżynieryjno-technicznych",2015,"Tak",24,"śląskie",3.74462427745665
"285"," nauk inżynieryjno-technicznych",2015,"Tak",26,"świętokrzyskie",4.36540540540541
"286"," nauk inżynieryjno-technicznych",2015,"Tak",28,"warmińsko-mazurskie",4.038125
"287"," nauk inżynieryjno-technicznych",2015,"Tak",30,"wielkopolskie",4.64443181818182
"288"," nauk inżynieryjno-technicznych",2015,"Tak",32,"zachodniopomorskie",4.51079365079365
"289"," nauk inżynieryjno-technicznych",2016,"Nie",2,"dolnośląskie",10.5459166666667
"290"," nauk inżynieryjno-technicznych",2016,"Nie",4,"kujawsko-pomorskie",9.33171428571429
"291"," nauk inżynieryjno-technicznych",2016,"Nie",6,"lubelskie",11.5108064516129
"292"," nauk inżynieryjno-technicznych",2016,"Nie",8,"lubuskie",11.09375
"293"," nauk inżynieryjno-technicznych",2016,"Nie",10,"łódzkie",11.4141176470588
"294"," nauk inżynieryjno-technicznych",2016,"Nie",12,"małopolskie",11.9251515151515
"295"," nauk inżynieryjno-technicznych",2016,"Nie",14,"mazowieckie",10.4976436781609
"296"," nauk inżynieryjno-technicznych",2016,"Nie",16,"opolskie",10.0070833333333
"297"," nauk inżynieryjno-technicznych",2016,"Nie",18,"podkarpackie",11.4998412698413
"298"," nauk inżynieryjno-technicznych",2016,"Nie",20,"podlaskie",12.7103448275862
"299"," nauk inżynieryjno-technicznych",2016,"Nie",22,"pomorskie",12.3987804878049
"300"," nauk inżynieryjno-technicznych",2016,"Nie",24,"śląskie",10.0572789115646
"301"," nauk inżynieryjno-technicznych",2016,"Nie",26,"świętokrzyskie",11.5886842105263
"302"," nauk inżynieryjno-technicznych",2016,"Nie",28,"warmińsko-mazurskie",9.97153846153846
"303"," nauk inżynieryjno-technicznych",2016,"Nie",30,"wielkopolskie",9.95516853932584
"304"," nauk inżynieryjno-technicznych",2016,"Nie",32,"zachodniopomorskie",10.939
"305"," nauk inżynieryjno-technicznych",2016,"Tak",2,"dolnośląskie",4.16975806451613
"306"," nauk inżynieryjno-technicznych",2016,"Tak",4,"kujawsko-pomorskie",1.72139534883721
"307"," nauk inżynieryjno-technicznych",2016,"Tak",6,"lubelskie",5.07941176470588
"308"," nauk inżynieryjno-technicznych",2016,"Tak",8,"lubuskie",4.29346153846154
"309"," nauk inżynieryjno-technicznych",2016,"Tak",10,"łódzkie",5.17589285714286
"310"," nauk inżynieryjno-technicznych",2016,"Tak",12,"małopolskie",4.90540697674419
"311"," nauk inżynieryjno-technicznych",2016,"Tak",14,"mazowieckie",3.3933152173913
"312"," nauk inżynieryjno-technicznych",2016,"Tak",16,"opolskie",2.94807692307692
"313"," nauk inżynieryjno-technicznych",2016,"Tak",18,"podkarpackie",5.03893939393939
"314"," nauk inżynieryjno-technicznych",2016,"Tak",20,"podlaskie",3.13290322580645
"315"," nauk inżynieryjno-technicznych",2016,"Tak",22,"pomorskie",4.755
"316"," nauk inżynieryjno-technicznych",2016,"Tak",24,"śląskie",3.70412903225806
"317"," nauk inżynieryjno-technicznych",2016,"Tak",26,"świętokrzyskie",4.13
"318"," nauk inżynieryjno-technicznych",2016,"Tak",28,"warmińsko-mazurskie",3.57703703703704
"319"," nauk inżynieryjno-technicznych",2016,"Tak",30,"wielkopolskie",3.64336842105263
"320"," nauk inżynieryjno-technicznych",2016,"Tak",32,"zachodniopomorskie",4.8453125
"321"," nauk inżynieryjno-technicznych",2017,"Nie",2,"dolnośląskie",8.81646017699115
"322"," nauk inżynieryjno-technicznych",2017,"Nie",4,"kujawsko-pomorskie",8.69606060606061
"323"," nauk inżynieryjno-technicznych",2017,"Nie",6,"lubelskie",10.5808196721311
"324"," nauk inżynieryjno-technicznych",2017,"Nie",8,"lubuskie",10.2094117647059
"325"," nauk inżynieryjno-technicznych",2017,"Nie",10,"łódzkie",9.83716666666667
"326"," nauk inżynieryjno-technicznych",2017,"Nie",12,"małopolskie",10.4128409090909
"327"," nauk inżynieryjno-technicznych",2017,"Nie",14,"mazowieckie",9.81608187134503
"328"," nauk inżynieryjno-technicznych",2017,"Nie",16,"opolskie",8.55357142857143
"329"," nauk inżynieryjno-technicznych",2017,"Nie",18,"podkarpackie",9.74313432835821
"330"," nauk inżynieryjno-technicznych",2017,"Nie",20,"podlaskie",11.1385294117647
"331"," nauk inżynieryjno-technicznych",2017,"Nie",22,"pomorskie",9.91949367088608
"332"," nauk inżynieryjno-technicznych",2017,"Nie",24,"śląskie",9.31918918918919
"333"," nauk inżynieryjno-technicznych",2017,"Nie",26,"świętokrzyskie",9.74333333333333
"334"," nauk inżynieryjno-technicznych",2017,"Nie",28,"warmińsko-mazurskie",8.55391304347826
