"Name","Start","End","Duration","Process"
"YouTube - Google Chrome","2023-01-01T11:32:55.0000000","2023-01-01T11:33:13.0000000","0:00:18","Google Chrome"
"The REAL Reason Behind JOE ROGAN'S Success😳 - YouTube - Google Chrome","2023-01-01T11:33:13.0000000","2023-01-01T11:33:19.0000000","0:00:06","Google Chrome"
"TEST NAJCZĘŚCIEJ KUPOWANYCH AKCESORIÓW! - YouTube - Google Chrome","2023-01-01T11:33:19.0000000","2023-01-01T11:33:35.0000000","0:00:16","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:33:35.0000000","2023-01-01T11:33:45.0000000","0:00:10","League of Legends (TM) Client"
"TEST NAJCZĘŚCIEJ KUPOWANYCH AKCESORIÓW! - YouTube - Google Chrome","2023-01-01T11:33:45.0000000","2023-01-01T11:34:06.0000000","0:00:21","Google Chrome"
"TIDAL","2023-01-01T11:34:06.0000000","2023-01-01T11:34:12.0000000","0:00:06","TIDAL"
"TEST NAJCZĘŚCIEJ KUPOWANYCH AKCESORIÓW! - YouTube - Google Chrome","2023-01-01T11:34:12.0000000","2023-01-01T11:34:20.0000000","0:00:08","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:34:20.0000000","2023-01-01T11:34:31.0000000","0:00:11","League of Legends (TM) Client"
"Zapisz jako","2023-01-01T11:34:31.0000000","2023-01-01T11:34:37.0000000","0:00:06","Notepad"
"TEST NAJCZĘŚCIEJ KUPOWANYCH AKCESORIÓW! - YouTube - Google Chrome","2023-01-01T11:34:37.0000000","2023-01-01T11:34:42.0000000","0:00:05","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:34:42.0000000","2023-01-01T11:34:58.0000000","0:00:16","League of Legends (TM) Client"
"TEST NAJCZĘŚCIEJ KUPOWANYCH AKCESORIÓW! - YouTube - Google Chrome","2023-01-01T11:34:58.0000000","2023-01-01T11:35:14.0000000","0:00:16","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:35:14.0000000","2023-01-01T11:58:14.0000000","0:23:00","League of Legends (TM) Client"
"Who Needs Information - Roger Waters","2023-01-01T11:58:14.0000000","2023-01-01T11:58:19.0000000","0:00:05","TIDAL"
"League of Legends (TM) Client","2023-01-01T11:58:19.0000000","2023-01-01T12:03:51.0000000","0:05:32","League of Legends (TM) Client"
"League of Legends","2023-01-01T12:03:51.0000000","2023-01-01T12:05:26.0000000","0:01:35","League of Legends"
"I Played Elden RIng As Killua And It Was AMAZING (Hunter x Hunter Killua Build) - YouTube - Google Chrome","2023-01-01T12:05:26.0000000","2023-01-01T12:06:36.0000000","0:01:10","Google Chrome"
"League of Legends","2023-01-01T12:06:36.0000000","2023-01-01T12:06:42.0000000","0:00:06","League of Legends"
"I Played Elden RIng As Killua And It Was AMAZING (Hunter x Hunter Killua Build) - YouTube - Google Chrome","2023-01-01T12:06:42.0000000","2023-01-01T12:06:56.0000000","0:00:14","Google Chrome"
"League of Legends","2023-01-01T12:06:56.0000000","2023-01-01T12:08:30.0000000","0:01:34","League of Legends"
"I Played Elden RIng As Killua And It Was AMAZING (Hunter x Hunter Killua Build) - YouTube - Google Chrome","2023-01-01T12:08:30.0000000","2023-01-01T12:08:41.0000000","0:00:11","Google Chrome"
"Beating Elden Ring with the WORST CROSSBOW in the game (Soldier's Crossbow Only Challenge) - YouTube - Google Chrome","2023-01-01T12:08:41.0000000","2023-01-01T12:09:09.0000000","0:00:28","Google Chrome"
"Can you beat Elden Ring with ONLY Godslayer Spells? - YouTube - Google Chrome","2023-01-01T12:09:09.0000000","2023-01-01T12:09:17.0000000","0:00:08","Google Chrome"
"League of Legends","2023-01-01T12:09:17.0000000","2023-01-01T12:09:25.0000000","0:00:08","League of Legends"
"Can you beat Elden Ring with ONLY Godslayer Spells? - YouTube - Google Chrome","2023-01-01T12:09:25.0000000","2023-01-01T12:10:53.0000000","0:01:28","Google Chrome"
"YouTube - Google Chrome","2023-01-01T12:10:53.0000000","2023-01-01T12:10:58.0000000","0:00:05","Google Chrome"
"This New 1.06 Bleed Build is INSANELY BROKEN Now - Destroy EVERYTHING With This Weapon - Elden Ring! - YouTube - Google Chrome","2023-01-01T12:10:58.0000000","2023-01-01T12:12:25.0000000","0:01:27","Google Chrome"
"League of Legends (TM) Client","2023-01-01T12:12:25.0000000","2023-01-01T12:12:34.0000000","0:00:09","League of Legends (TM) Client"
"This New 1.06 Bleed Build is INSANELY BROKEN Now - Destroy EVERYTHING With This Weapon - Elden Ring! - YouTube - Google Chrome","2023-01-01T12:12:34.0000000","2023-01-01T12:13:35.0000000","0:01:01","Google Chrome"
"League of Legends (TM) Client","2023-01-01T12:13:35.0000000","2023-01-01T12:14:05.0000000","0:00:30","League of Legends (TM) Client"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T12:14:05.0000000","2023-01-01T12:14:12.0000000","0:00:07","Google Chrome"
"THIS IS WHY AATROX IS THE MOST DIFFICULT TOP | NAAYIL - YouTube - Google Chrome","2023-01-01T12:14:12.0000000","2023-01-01T12:14:23.0000000","0:00:11","Google Chrome"
"League of Legends (TM) Client","2023-01-01T12:14:23.0000000","2023-01-01T12:49:16.0000000","0:34:53","League of Legends (TM) Client"
"Subterranean Homesick Alien - Radiohead","2023-01-01T12:49:16.0000000","2023-01-01T12:49:22.0000000","0:00:06","TIDAL"
"League of Legends (TM) Client","2023-01-01T12:49:22.0000000","2023-01-01T12:51:00.0000000","0:01:38","League of Legends (TM) Client"
"System operacyjny Microsoft® Windows®","2023-01-01T12:51:00.0000000","2023-01-01T12:51:05.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"League of Legends","2023-01-01T12:51:05.0000000","2023-01-01T12:52:18.0000000","0:01:13","League of Legends"
"https://www.youtube.com/feed/subscriptions - Google Chrome","2023-01-01T12:52:18.0000000","2023-01-01T12:52:23.0000000","0:00:05","Google Chrome"
"Facebook - Google Chrome","2023-01-01T12:52:23.0000000","2023-01-01T12:52:56.0000000","0:00:33","Google Chrome"
"YouTube - Google Chrome","2023-01-01T12:52:56.0000000","2023-01-01T12:53:43.0000000","0:00:47","Google Chrome"
"Aizen Status - YouTube - Google Chrome","2023-01-01T12:53:43.0000000","2023-01-01T12:54:04.0000000","0:00:21","Google Chrome"
"[1000 IBU] kopyr masakruje Palikota i rzecznika KP też - YouTube - Google Chrome","2023-01-01T12:54:04.0000000","2023-01-01T12:54:09.0000000","0:00:05","Google Chrome"
"YouTube - Google Chrome","2023-01-01T12:54:09.0000000","2023-01-01T12:54:17.0000000","0:00:08","Google Chrome"
"[1000 IBU] kopyr masakruje Palikota i rzecznika KP też - YouTube - Google Chrome","2023-01-01T12:54:17.0000000","2023-01-01T12:55:37.0000000","0:01:20","Google Chrome"
"Hej, to ostatnia szansa na kartę BeActive w promce 3 za 50% 😮 - michal.iwicki00@gmail.com - Gmail - Google Chrome","2023-01-01T12:55:37.0000000","2023-01-01T12:55:53.0000000","0:00:16","Google Chrome"
"[1000 IBU] kopyr masakruje Palikota i rzecznika KP też - YouTube - Google Chrome","2023-01-01T12:55:53.0000000","2023-01-01T12:56:49.0000000","0:00:56","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T12:56:49.0000000","2023-01-01T12:59:17.0000000","0:02:28","Google Chrome"
"_3 miesiące za 50% - eBeActive.pl - Google Chrome","2023-01-01T12:59:17.0000000","2023-01-01T12:59:23.0000000","0:00:06","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T12:59:23.0000000","2023-01-01T13:00:14.0000000","0:00:51","Google Chrome"
"_3 miesiące za 50% - eBeActive.pl - Google Chrome","2023-01-01T13:00:14.0000000","2023-01-01T13:00:25.0000000","0:00:11","Google Chrome"
"Koszyk - eBeActive.pl - Google Chrome","2023-01-01T13:00:25.0000000","2023-01-01T13:00:39.0000000","0:00:14","Google Chrome"
"Fitness cards BeActive - eBeActive.pl - Google Chrome","2023-01-01T13:00:39.0000000","2023-01-01T13:00:45.0000000","0:00:06","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T13:00:45.0000000","2023-01-01T13:02:23.0000000","0:01:38","Google Chrome"
"Zmiana regulaminu sklepu internetowego Cooling.pl / Changes to Cooling.pl e-shop regulations - michal.iwicki00@gmail.com - Gmail - Google Chrome","2023-01-01T13:02:23.0000000","2023-01-01T13:02:33.0000000","0:00:10","Google Chrome"
"Facebook - Google Chrome","2023-01-01T13:02:33.0000000","2023-01-01T13:02:48.0000000","0:00:15","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T13:02:48.0000000","2023-01-01T13:02:54.0000000","0:00:06","Google Chrome"
"Sklep z kawą, herbatą i akcesoriami - Coffeedesk.pl - Google Chrome","2023-01-01T13:02:54.0000000","2023-01-01T13:03:02.0000000","0:00:08","Google Chrome"
"Comandante - Młynek X25 Trailmaster Dune | 2503000005 - Google Chrome","2023-01-01T13:03:02.0000000","2023-01-01T13:03:13.0000000","0:00:11","Google Chrome"
"Zimowa wyprzedaż - Google Chrome","2023-01-01T13:03:13.0000000","2023-01-01T13:03:19.0000000","0:00:06","Google Chrome"
"Zimowa wyprzedaż - kawa - Google Chrome","2023-01-01T13:03:19.0000000","2023-01-01T13:03:26.0000000","0:00:07","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T13:03:26.0000000","2023-01-01T13:03:36.0000000","0:00:10","Google Chrome"
"Comandante - Młynek X25 Trailmaster Dune | 2503000005 - Google Chrome","2023-01-01T13:03:36.0000000","2023-01-01T13:03:45.0000000","0:00:09","Google Chrome"
"Mówią o mnie w Sejmie! [1000 IBU] - YouTube - Google Chrome","2023-01-01T13:03:45.0000000","2023-01-01T13:08:28.0000000","0:04:43","Google Chrome"
"Kawowe trendy na 2023 rok - Blog Coffeedesk.pl - Google Chrome","2023-01-01T13:08:28.0000000","2023-01-01T13:08:45.0000000","0:00:17","Google Chrome"
"YouTube - Google Chrome","2023-01-01T13:08:45.0000000","2023-01-01T13:09:17.0000000","0:00:32","Google Chrome"
"Strongest Marines #marine #strong #shorts - YouTube - Google Chrome","2023-01-01T13:09:17.0000000","2023-01-01T13:09:46.0000000","0:00:29","Google Chrome"
"They let me pick CAITLYN in a Tournament?!?! ft. Katevolved , Bwipo - YouTube - Google Chrome","2023-01-01T13:09:46.0000000","2023-01-01T13:13:16.0000000","0:03:30","Google Chrome"
"Caedrel Experiences TYLER1 Announcer Pack - YouTube - Google Chrome","2023-01-01T13:13:16.0000000","2023-01-01T13:13:26.0000000","0:00:10","Google Chrome"
"Kawowe trendy na 2023 rok - Blog Coffeedesk.pl - Google Chrome","2023-01-01T13:13:26.0000000","2023-01-01T13:15:12.0000000","0:01:46","Google Chrome"
"Zimowa wyprzedaż - kawa - Google Chrome","2023-01-01T13:15:12.0000000","2023-01-01T13:15:22.0000000","0:00:10","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T18:23:25.0000000","2023-01-01T18:23:58.0000000","0:00:33","System operacyjny Microsoft® Windows®"
"Logowanie - Google Chrome","2023-01-01T18:23:58.0000000","2023-01-01T18:24:05.0000000","0:00:07","Google Chrome"
"Nowa karta - Google Chrome","2023-01-01T18:24:05.0000000","2023-01-01T18:24:10.0000000","0:00:05","Google Chrome"
"1120-DS000-ISP-0233#2022Z#69954: Lista J - deklaracje oraz (ewentualnie) rozwiązania zadań - Google Chrome","2023-01-01T18:24:10.0000000","2023-01-01T18:24:15.0000000","0:00:05","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T18:24:15.0000000","2023-01-01T18:24:21.0000000","0:00:06","System operacyjny Microsoft® Windows®"
"1120-DS000-ISP-0233#2022Z#69954: Lista J - deklaracje oraz (ewentualnie) rozwiązania zadań - Google Chrome","2023-01-01T18:24:21.0000000","2023-01-01T18:24:26.0000000","0:00:05","Google Chrome"
"Messenger | Facebook - Google Chrome","2023-01-01T18:24:26.0000000","2023-01-01T18:24:37.0000000","0:00:11","Google Chrome"
"ISI_test (1).pdf - Google Chrome","2023-01-01T18:24:37.0000000","2023-01-01T18:24:46.0000000","0:00:09","Google Chrome"
"Pobrane","2023-01-01T18:24:46.0000000","2023-01-01T18:24:57.0000000","0:00:11","System operacyjny Microsoft® Windows®"
"Messenger | Facebook - Google Chrome","2023-01-01T18:24:57.0000000","2023-01-01T18:25:02.0000000","0:00:05","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T18:25:02.0000000","2023-01-01T18:25:07.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T18:25:07.0000000","2023-01-01T18:25:21.0000000","0:00:14","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T18:25:21.0000000","2023-01-01T18:29:09.0000000","0:03:48","System operacyjny Microsoft® Windows®"
"Nowa karta - Google Chrome","2023-01-01T18:29:09.0000000","2023-01-01T18:29:16.0000000","0:00:07","Google Chrome"
"Facebook - Google Chrome","2023-01-01T18:29:16.0000000","2023-01-01T18:29:45.0000000","0:00:29","Google Chrome"
"TIDAL","2023-01-01T18:29:45.0000000","2023-01-01T18:30:06.0000000","0:00:21","TIDAL"
"Speed of Life (2017 Remaster) - David Bowie","2023-01-01T18:30:06.0000000","2023-01-01T18:30:47.0000000","0:00:41","TIDAL"
"System operacyjny Microsoft® Windows®","2023-01-01T18:30:47.0000000","2023-01-01T18:30:52.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"TIDAL","2023-01-01T18:30:52.0000000","2023-01-01T18:30:57.0000000","0:00:05","TIDAL"
"Lay Down Sally - Eric Clapton","2023-01-01T18:30:57.0000000","2023-01-01T18:31:05.0000000","0:00:08","TIDAL"
"Knock on Wood - Eric Clapton","2023-01-01T18:31:05.0000000","2023-01-01T18:31:14.0000000","0:00:09","TIDAL"
"Cluster One (2011 Remaster) - Pink Floyd","2023-01-01T18:31:14.0000000","2023-01-01T18:31:25.0000000","0:00:11","TIDAL"
"League of Legends","2023-01-01T18:31:25.0000000","2023-01-01T18:34:40.0000000","0:03:15","League of Legends"
"Cluster One (2011 Remaster) - Pink Floyd","2023-01-01T18:34:40.0000000","2023-01-01T18:34:45.0000000","0:00:05","TIDAL"
"League of Legends (TM) Client","2023-01-01T18:34:45.0000000","2023-01-01T19:10:39.0000000","0:35:54","League of Legends (TM) Client"
"Take It Back (2011 Remaster) - Pink Floyd","2023-01-01T19:10:39.0000000","2023-01-01T19:10:45.0000000","0:00:06","TIDAL"
"League of Legends","2023-01-01T19:10:45.0000000","2023-01-01T19:10:51.0000000","0:00:06","League of Legends"
"Take It Back (2011 Remaster) - Pink Floyd","2023-01-01T19:10:51.0000000","2023-01-01T19:10:56.0000000","0:00:05","TIDAL"
"League of Legends","2023-01-01T19:10:56.0000000","2023-01-01T19:11:34.0000000","0:00:38","League of Legends"
"Facebook - Google Chrome","2023-01-01T19:11:34.0000000","2023-01-01T19:12:58.0000000","0:01:24","Google Chrome"
"League of Legends","2023-01-01T19:12:58.0000000","2023-01-01T19:16:21.0000000","0:03:23","League of Legends"
"Facebook - Google Chrome","2023-01-01T19:16:21.0000000","2023-01-01T19:16:26.0000000","0:00:05","Google Chrome"
"League of Legends (TM) Client","2023-01-01T19:16:26.0000000","2023-01-01T19:17:17.0000000","0:00:51","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-01T19:17:17.0000000","2023-01-01T19:17:48.0000000","0:00:31","Google Chrome"
"League of Legends (TM) Client","2023-01-01T19:17:48.0000000","2023-01-01T19:18:43.0000000","0:00:55","League of Legends (TM) Client"
"Logowanie - Google Chrome","2023-01-01T19:18:43.0000000","2023-01-01T19:18:51.0000000","0:00:08","Google Chrome"
"Na skróty - MÓJ USOSWEB - USOSWEB PW - Google Chrome","2023-01-01T19:18:51.0000000","2023-01-01T19:18:58.0000000","0:00:07","Google Chrome"
"League of Legends (TM) Client","2023-01-01T19:18:58.0000000","2023-01-01T19:19:07.0000000","0:00:09","League of Legends (TM) Client"
"Techniki wizualizacji danych - sprawdziany - USOSWEB PW - Google Chrome","2023-01-01T19:19:07.0000000","2023-01-01T19:19:23.0000000","0:00:16","Google Chrome"
"League of Legends (TM) Client","2023-01-01T19:19:23.0000000","2023-01-01T19:43:19.0000000","0:23:56","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-01T19:43:19.0000000","2023-01-01T19:43:32.0000000","0:00:13","Google Chrome"
"TIDAL","2023-01-01T19:43:32.0000000","2023-01-01T19:43:37.0000000","0:00:05","TIDAL"
"League of Legends (TM) Client","2023-01-01T19:43:37.0000000","2023-01-01T19:45:37.0000000","0:02:00","League of Legends (TM) Client"
"System operacyjny Microsoft® Windows®","2023-01-01T19:45:37.0000000","2023-01-01T19:45:48.0000000","0:00:11","System operacyjny Microsoft® Windows®"
"League of Legends","2023-01-01T19:45:48.0000000","2023-01-01T19:46:19.0000000","0:00:31","League of Legends"
"https://www.youtube.com/feed/subscriptions - Google Chrome","2023-01-01T19:46:19.0000000","2023-01-01T19:46:24.0000000","0:00:05","Google Chrome"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T19:46:24.0000000","2023-01-01T19:46:36.0000000","0:00:12","Google Chrome"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T19:59:40.0000000","2023-01-01T19:59:52.0000000","0:00:12","Google Chrome"
"MY NEW KILL RECORD! - YouTube - Google Chrome","2023-01-01T19:59:52.0000000","2023-01-01T20:00:33.0000000","0:00:41","Google Chrome"
"yakisoba - YouTube - Google Chrome","2023-01-01T20:00:33.0000000","2023-01-01T20:00:39.0000000","0:00:06","Google Chrome"
"【お祭り】屋台ごはん！焼きそばの作り方。【How to make Yakisoba/Japanese street food recipes】【料理レシピはParty Kitchen🎉】 - YouTube - Google Chrome","2023-01-01T20:00:39.0000000","2023-01-01T20:02:01.0000000","0:01:22","Google Chrome"
"MY NEW KILL RECORD! - YouTube - Google Chrome","2023-01-01T20:02:01.0000000","2023-01-01T20:11:08.0000000","0:09:07","Google Chrome"
"Facebook - Google Chrome","2023-01-01T20:11:08.0000000","2023-01-01T20:11:35.0000000","0:00:27","Google Chrome"
"MY NEW KILL RECORD! - YouTube - Google Chrome","2023-01-01T20:11:35.0000000","2023-01-01T20:15:01.0000000","0:03:26","Google Chrome"
"3 PLANTBASED SOUP RECIPES TO WARM YOU UP! - YouTube - Google Chrome","2023-01-01T20:15:01.0000000","2023-01-01T20:18:01.0000000","0:03:00","Google Chrome"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T20:18:01.0000000","2023-01-01T20:18:07.0000000","0:00:06","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T20:18:07.0000000","2023-01-01T20:18:13.0000000","0:00:06","System operacyjny Microsoft® Windows®"
"System operacyjny Microsoft® Windows®","2023-01-03T10:25:02.0000000","2023-01-03T10:25:07.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"Ustawienia","2023-01-03T10:25:07.0000000","2023-01-03T10:25:27.0000000","0:00:20","Ustawienia"
"Panel sterowania NVIDIA","2023-01-03T10:25:27.0000000","2023-01-03T10:26:10.0000000","0:00:43","NVIDIA Control Panel"
"TIDAL","2023-01-03T10:26:10.0000000","2023-01-03T10:26:27.0000000","0:00:17","TIDAL"
"Tales Of Brave Ulysses - Cream","2023-01-03T10:26:27.0000000","2023-01-03T10:26:34.0000000","0:00:07","TIDAL"
"Facebook - Google Chrome","2023-01-03T10:26:34.0000000","2023-01-03T10:29:30.0000000","0:02:56","Google Chrome"
"Us And Them (2011 Remastered Version) - Pink Floyd","2023-01-03T10:29:30.0000000","2023-01-03T10:29:48.0000000","0:00:18","TIDAL"
"Some Kind Of Wonderful (feat. Paul Rodgers) - Buddy Guy, Paul Rodgers","2023-01-03T10:29:48.0000000","2023-01-03T10:30:08.0000000","0:00:20","TIDAL"
"Facebook - Google Chrome","2023-01-03T10:30:08.0000000","2023-01-03T10:30:38.0000000","0:00:30","Google Chrome"
"𝙎𝙚𝙚 𝙔𝙤𝙪 𝙎𝙥𝙖𝙘𝙚 𝘾𝙤𝙬𝙗𝙤𝙮 | Facebook - Google Chrome","2023-01-03T10:30:38.0000000","2023-01-03T10:30:59.0000000","0:00:21","Google Chrome"
"Facebook - Google Chrome","2023-01-03T10:30:59.0000000","2023-01-03T10:32:35.0000000","0:01:36","Google Chrome"
"Nowa karta - Google Chrome","2023-01-03T10:32:35.0000000","2023-01-03T10:33:17.0000000","0:00:42","Google Chrome"
"Feels Like Rain (feat. Bonnie Raitt) - Buddy Guy, Bonnie Raitt","2023-01-03T10:33:17.0000000","2023-01-03T10:33:26.0000000","0:00:09","TIDAL"
"Some Kind Of Wonderful (feat. Paul Rodgers) - Buddy Guy, Paul Rodgers","2023-01-03T10:33:26.0000000","2023-01-03T10:33:32.0000000","0:00:06","TIDAL"
"Too Many Tears (feat. Derek Trucks & Susan Tedeschi) (Main Version) - Buddy Guy, Derek Trucks, Susan Tedeschi","2023-01-03T10:33:32.0000000","2023-01-03T10:34:57.0000000","0:01:25","TIDAL"
"susan tedeschi - Szukaj w Google - Google Chrome","2023-01-03T10:34:57.0000000","2023-01-03T10:35:09.0000000","0:00:12","Google Chrome"
"Too Many Tears (feat. Derek Trucks & Susan Tedeschi) (Main Version) - Buddy Guy, Derek Trucks, Susan Tedeschi","2023-01-03T10:35:09.0000000","2023-01-03T10:37:39.0000000","0:02:30","TIDAL"
"On The Road Again - Willie Nelson, The Avett Brothers, Bobby Bare, Chris Stapleton, Dave Matthews, Emmylou Harris, Eric Church, George Strait, Jack Johnson, Jamey Johnson, Jimmy Buffett, Kris Kristofferson, Lee Ann Womack, Lukas Nelson, Lyle Lovett, Margo Price, Micah Nelson, Nathaniel Rateliff, Norah Jones, The Little Willies, Ray Benson, Sheryl Crow, Steve Earle, Susan Tedeschi, Derek Trucks, Vince Gill","2023-01-03T10:37:39.0000000","2023-01-03T10:37:53.0000000","0:00:14","TIDAL"
